#KO	A-1	A-2	B-1	B-2	C-1	C-2
K00001	0.000808980004315947	0.000819109861945028	0.000612948680922169	0.000635933480682086	0.000559136968670103	0.000542486474351325
K00002	7.72038380845697e-06	7.22688422533568e-06	2.49766518305712e-05	1.57502121695051e-05	9.56550887982675e-05	9.858089243293e-05
K00003	0.000587762479037045	0.000592135220229698	0.000519999878818898	0.000549497183764971	0.000666059282177164	0.000677436021110664
K00004	1.49014375653928e-05	1.46178664834576e-05	1.85089288332373e-05	2.31926009709905e-05	8.68979017822108e-06	8.51275477401169e-06
K00005	1.96858905532703e-05	1.86794815743808e-05	9.00123097627357e-05	9.40179323138053e-05	0.00011454456970013	0.000116547766601784
K00007	1.57188468162294e-06	1.57702545666197e-06	4.306311399988e-05	4.20634852153904e-05	2.03978728434253e-05	1.40124468713644e-05
K00008	0.000128769240001404	0.000125523931713329	9.53660568009489e-05	9.82964783346064e-05	0.000107892704793437	0.000104476113926683
K00009	1.18943528760527e-05	1.1045799349361e-05	7.61884286493077e-05	8.46489561836192e-05	2.54266119345416e-05	2.55950032624376e-05
K00010	0.000310116534051155	0.000303045306800677	0.000224283466136438	0.000235510886152397	0.000265891761696196	0.000264503288754388
K00011	1.34828964572504e-05	1.3330587014359e-05	1.33124424726793e-06	7.7174335821808e-07	6.55275595165048e-06	6.67904792012526e-06
K00012	0.000829459453577054	0.000824527446085985	0.000704658279215402	0.000645145869792204	0.000891591930313693	0.000907985801983729
K00013	0.000598521927299483	0.000597389080956535	0.00057926706407229	0.00059136662805737	0.000746406963660155	0.000765084514086481
K00014	0.000610866039930126	0.000611200427571798	0.000618564785403296	0.000621095343616157	0.000634567513881716	0.000639921929892053
K00015	0.0002753616137171	0.00028095289466619	0.000131401606085076	0.000132676690427366	0.000200483944533472	0.000198194193779273
K00016	6.44248487664254e-05	6.69088563415828e-05	8.54044110008754e-05	8.69313491257871e-05	0.000199889340794081	0.000212626920838886
K00018	7.30377389860815e-05	7.51406691976061e-05	0.000153217370655718	0.000147166295988043	0.000155829907223304	0.000166262935496059
K00019	0.00032459521811409	0.000326171304393002	0.000255458696611649	0.000259515231864244	0.000246461982828061	0.000236044903711541
K00020	0.000562594955048523	0.000571762336938921	0.00052636424289371	0.000539424708062201	0.000449612655773228	0.00042670550800964
K00021	7.63922248332675e-05	7.25862639891531e-05	1.21761388819013e-05	1.19450564155978e-05	3.62263178655828e-06	3.55725908045514e-06
K00023	0.000223261818242398	0.000229071952619487	0.000157174487473606	0.000154647740847126	0.000172249617658175	0.000159784764512752
K00024	0.000456714178603688	0.000451253062619283	0.000393512381765682	0.000369162830732386	0.000488869050933118	0.000503103949926577
K00027	0.000249646206898208	0.000234220826932823	0.000322966049038717	0.000309570086554836	0.00020328488547101	0.000199131611362931
K00029	0.00116670664887935	0.00119676643687404	0.00111829308594589	0.00105525643351506	0.00118071535445228	0.00115453368820971
K00030	0.000109821310664865	0.00010565642794072	5.56780271893215e-05	5.67231784933505e-05	6.18368831051719e-05	6.2608888495798e-05
K00031	0.000818051581854768	0.00081596041588375	0.000906620353564399	0.000941714374371683	0.000986180542746518	0.00101559054522404
K00032	1.17442549383876e-06	2.05625906480257e-06	2.4473006196171e-05	2.67422078378393e-05	7.42408066660149e-07	6.37992707041057e-07
K00033	0.000559139758304315	0.000538722388862168	0.000368506099901993	0.000351792485104359	0.000429363705779418	0.000430234554359153
K00034	9.50975452509828e-05	9.44744859792264e-05	4.31004125898534e-05	4.44087681646527e-05	4.89632980518403e-05	4.94168839213588e-05
K00035	0.000127816625803958	0.000132788278859766	5.98042120897238e-05	6.54216716570298e-05	6.0990322855425e-05	6.00344637592502e-05
K00036	0.000885091396282707	0.000868300909384828	0.000700083086136187	0.000711822401716763	0.00073406185060131	0.000737724465513335
K00038	8.91404170295035e-05	8.83727851709854e-05	2.81736676770277e-05	3.137504042587e-05	3.88713662681605e-05	3.68351663061446e-05
K00039	4.66364924549508e-05	4.77867862527744e-05	3.87551369310473e-05	4.00439839983896e-05	3.78387781438195e-05	3.75493287726495e-05
K00040	0.000239197668974738	0.000246174269809829	0.000261263358276383	0.000284119833179775	0.000209959154492041	0.000206194999197424
K00041	7.38619411256204e-05	7.70556426928502e-05	8.89341743113403e-05	8.16454427820147e-05	3.81730867054607e-05	3.8437292163003e-05
K00042	0.000199168651965039	0.000202104862787711	0.000216244118154686	0.000228563397893064	0.000204805794633178	0.000191485442287939
K00043	4.83743063501408e-06	4.57404157216535e-06	8.50579600307468e-06	7.9052191608084e-06	6.97616416069893e-06	6.14957115121834e-06
K00044	5.32341750266885e-06	5.48952035749674e-06	1.72356657381315e-06	1.78746325167942e-06	4.01006948303309e-06	3.86568281503061e-06
K00045	8.87949255344404e-05	9.30666704774313e-05	0.000126109332649883	0.000136666527493453	9.58028758697355e-05	9.819521864839e-05
K00046	0.000186370821601914	0.00018954799682133	0.000216707842562616	0.000207892729736702	0.000186225505637474	0.000179463165197323
K00048	3.66871207920108e-06	3.46256873298909e-06	6.45269644972807e-05	4.772369998641e-05	2.56439423466687e-05	2.50091468931183e-05
K00050	0.000372412486620781	0.000383762264506261	0.00027170109995048	0.000276029127659809	0.000297842698442531	0.000288114774919435
K00052	0.000585099470436891	0.000584099984412858	0.000546588284713691	0.000543455492172178	0.000729699905391238	0.00074465050691377
K00053	0.00048728411307134	0.000488094516801826	0.000507782700296231	0.000513984153814167	0.000689518959158428	0.000708910678365304
K00054	1.2637392933475e-05	1.50187880624268e-05	3.62601490818469e-05	2.98951507002783e-05	9.94704204618494e-06	8.08800747924964e-06
K00055	8.50437721340757e-05	8.38654196631062e-05	3.63928461941735e-05	3.88170295086494e-05	4.49731177546505e-05	4.23591085092442e-05
K00057	0.000515426316965009	0.000512135957849503	0.000535200208229516	0.000503174538974533	0.000617789357206415	0.00062816432056614
K00058	0.00129138439287467	0.00128143637598091	0.000975339026515769	0.000993345293426271	0.0013072360062496	0.00131923092522298
K00059	0.00497239094791177	0.00493068778131653	0.00289066922984533	0.00297892523074881	0.00308860189005412	0.00300731992821669
K00060	0.000194775727114479	0.00018484497253705	0.000164920881414723	0.000155260933906662	0.000159223679726416	0.000158116620114905
K00064	0.000142631256815198	0.000144105895975651	8.21844877460206e-05	9.08535263279414e-05	5.65476025826197e-05	5.28733719837843e-05
K00065	0.000189565610062433	0.000192592432351371	0.000128066483977637	0.000138120438674514	0.00011405580883201	0.000110426241188542
K00066	8.17191102413105e-05	8.16851746313257e-05	6.72173177078267e-05	7.25520217422484e-05	1.25711450579493e-05	1.09146220665112e-05
K00067	0.000411175288287449	0.000407924260955287	0.000476551303924986	0.000429710308661431	0.000590990564694924	0.00058968897592377
K00068	4.59891445869662e-06	4.93552639282766e-06	3.46154662850362e-05	3.85853562788596e-05	3.74925601170351e-05	3.846103730036e-05
K00073	4.38164674689977e-06	4.46657391584994e-06	2.90986700408068e-05	3.31825674951684e-05	1.27784878286932e-05	1.0693464047821e-05
K00074	0.000737859417688252	0.000726937444710232	0.000544035016484461	0.000564994409391536	0.000486670581667881	0.000458534895041661
K00075	0.000468929235558881	0.000465458506393974	0.000475378479040414	0.000466723589690992	0.000556459400295366	0.000557644340969774
K00076	7.23634349397912e-05	7.30511966096901e-05	7.87044369939281e-05	9.89914792890692e-05	0.000167667392815206	0.000187488550147046
K00077	0.00037746839570369	0.000379180148976487	0.000424355449563903	0.000409493027641506	0.000462579673781176	0.000446526042494853
K00082	2.66883843187422e-05	2.49092506650887e-05	2.69816548515713e-06	4.90692176856222e-06	1.27696801802175e-06	1.35490444083155e-06
K00086	1.18198514944276e-05	1.12386515589151e-05	1.6068598358694e-05	1.55611529310633e-05	5.58771969587958e-05	5.90938028912491e-05
K00087	1.87593125495202e-05	1.90066816329593e-05	4.66660144281313e-05	4.83565942265814e-05	9.62530497250053e-05	9.95595122238088e-05
K00088	0.000942428483775346	0.000921693218118801	0.000803264798101865	0.000797841903741807	0.00101696988183656	0.00103771591889834
