#OTU ID	A-1	A-2	B-1	B-2	C-1	C-2	taxonomy
ZOTU_1	0	0	0.004627	0.01551	0.09528	0.1079	d:Bacteria,p:"Proteobacteria",c:Epsilonproteobacteria,o:Campylobacterales,f:Campylobacteraceae,g:Arcobacter
ZOTU_2	0.008106	0.01835	0.06743	0.08831	0.002709	0.002064	d:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria,o:Oceanospirillales,f:Halomonadaceae,g:Halomonas
ZOTU_3	0	0	0.008615	0.00887	0.05814	0.06045	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Roseomonas
ZOTU_4	0	0	0.005265	0.002789	0.06512	0.06497	d:Bacteria,p:"Bacteroidetes",c:"Bacteroidia",o:"Bacteroidales",f:"Porphyromonadaceae"
ZOTU_5	0	0	5.318e-05	0.0004463	0.06335	0.0641	d:Bacteria,p:"Bacteroidetes"
ZOTU_6	3.635e-05	8.211e-05	0.0004786	0.0008926	0.06017	0.05797	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales,f:Rhizobiaceae
ZOTU_7	0	0	0.003882	0.002287	0.05439	0.05633	d:Bacteria,p:"Bacteroidetes",c:"Bacteroidia",o:"Bacteroidales",f:"Porphyromonadaceae"
ZOTU_8	0	0	0.07195	0.06867	0.0001042	2.991e-05	d:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria,o:Alteromonadales,f:Alteromonadaceae,g:Alishewanella
ZOTU_9	0	0	0.06233	0.05701	5.209e-05	5.983e-05	d:Bacteria,p:"Bacteroidetes",c:Flavobacteriia,o:"Flavobacteriales",f:Flavobacteriaceae,g:Flavobacterium
ZOTU_10	0	0	0	0	0.04631	0.04936	d:Bacteria,p:"Bacteroidetes",c:"Bacteroidia",o:"Bacteroidales",f:"Porphyromonadaceae"
ZOTU_11	0	0	0.05233	0.05551	0	0	d:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria,o:Chromatiales
ZOTU_12	0	0	5.318e-05	0	0.04616	0.04496	d:Bacteria,p:"Bacteroidetes",c:"Bacteroidia",o:"Bacteroidales",f:"Porphyromonadaceae",g:Petrimonas,s:Petrimonas_sulfuriphila
ZOTU_13	0	0	5.318e-05	0	0.04141	0.04526	d:Bacteria,p:"Proteobacteria",c:Deltaproteobacteria,o:Desulfuromonadales,f:Desulfuromonadaceae,g:Pelobacter,s:Pelobacter_seleniigenes
ZOTU_14	0	4.105e-05	0.006009	0.007364	0.0372	0.03697	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales,f:Rhizobiaceae,g:Rhizobium
ZOTU_15	0	0	0.02733	0.02349	0.0187	0.01672	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodobacterales,f:Rhodobacteraceae
ZOTU_16	0.03126	0.03559	0	0	0	0	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales
ZOTU_17	0.03014	0.02648	0	0	0	0	d:Bacteria,p:"Bacteroidetes",c:Sphingobacteriia,o:"Sphingobacteriales",f:Chitinophagaceae
