#OTU ID	E01L	E01S	N01L	N01S	S01L	S01S
564806	10	14	0	2	0	0
145801	7974	429	4	265	1	233
339087	4386	49	162	563	329	186
370287	197	13	47	45	36	6
4449244	10138	4	0	104	2	61
513445	984	159	23	676	117	127
351231	40	55	35	1029	768	2876
191487	2979	1058	79	145	369	2178
176034	1785	114	15	77	28	198
157327	8102	359	10	428	49	220
183619	16	0	0	1	0	3
4304475	223	182	5	143	387	1415
589277	527	130	478	240	10039	8199
195157	20	5	0	20	41	164
325808	15	123	12548	1607	23	34
360329	89	80	8	10	7	3
3943182	580	22	25	105	251	60
350277	3486	1626	369	418	5991	26302
196370	368	18	6	32	11	8
236821	1026	33	1	59	8	26
3073894	282	0	0	1	0	6
345319	55	5	13	13	4	6
179157	292	35	6	54	6	16
211720	1792	78	0	20	0	5
294254	260	2126	0	120	4	166
213394	12	0	10	10	1	1
291090	175	38	8	66	2	9
580629	49	19	2	105	12	18
364179	30	6	2	0	1	6
4378683	21	0	0	4	1	0
309720	457	418	0	28	7	110
359650	186	8	31	146	25	7
4447072	161	14	16	17	302	147
212481	139	5	4	38	48	17
3154070	513	40	30	107	952	285
1736067	156	30	16	36	320	234
2986828	156	3	0	10	3	4
554303	78	30	1	9	2	0
191043	17	0	0	2	3	1
357582	1460	180	48	395	148	448
588216	1370	4509	226	877	7430	77
577170	554	18	22	131	197	64
325503	453	10	10	14	8	47
3413566	224	26	0	8	0	6
4378081	46	7	19	29	42	567
174842	379	102	31	218	20	52
547304	30	3	0	3	4	0
583656	205	30	52	117	98	447
685156	5	26	2	164	20	6
938948	40	0	0	3	0	0
3002161	627	7	1	42	3	26
338992	19	0	0	1	4	1
4338624	373	2	0	10	0	0
192839	186	9	9	53	36	18
2487345	46	0	0	1	1	1
353292	499	71	0	17	24	44
4339144	505	293	0	36	51	262
179905	3	0	0	1	1	0
193233	131	8	17	66	95	110
4296080	13	1	0	1	1	0
560336	1093	158	39	742	91	108
1078587	17	10	0	27	17	231
184567	11	19	13	2	43	39
3181657	62	3	2	1	145	80
4340358	8	1	0	1	15	7
548587	82	1	0	6	1	0
3671383	23	0	1	5	10	17
2688034	33	2	0	0	0	0
687245	3	5	1	3	0	0
184209	116	2	0	16	7	7
177742	95	13	0	4	2	3
969149	581	80	7	90	131	7
212359	102	21	0	12	5	12
336012	223	133	157	551	909	5292
4383922	35	0	0	0	1	0
176775	604	13	45	382	488	10
556835	103	7	8	64	100	0
189920	286	12	6	35	179	37
833731	49	10	0	2	2	1
4315958	1	8	0	2	0	0
197286	456	15	1	60	14	17
572750	29	14	0	2	0	0
4379449	492	19	0	13	0	4
304777	272	3	5	22	4	20
782953	308	464	14	77	620	6
360238	17	2	0	2	0	1
356760	142	10	0	10	0	5
2375352	3	0	0	0	1	2
4396877	40	2	1	2	0	1
197581	2	0	0	1	0	0
292057	13	32	16	99	211	16
198449	185	8	7	13	37	18
4296242	5	0	0	5	0	0
293511	17	0	0	1	1	0
1111586	4	1	0	7	0	5
681779	10	0	0	0	0	0
362997	186	100	34	32	746	1878
584951	85	17	0	5	1	10
851323	156	20	0	65	20	19
1128398	7	0	0	0	0	0
848315	14	3	0	4	25	23
929476	36	47	4	28	190	2
345354	27	4	0	11	2	8
326662	156	10	9	11	16	192
851865	440	55	123	1271	1091	2143
176685	105	1	0	10	0	4
365842	16	0	1	3	1	1
528753	165	1	16	95	107	3
195508	119	13	4	19	35	58
4472721	70	89	3	8	7	153
305982	139	13	0	11	2	3
342025	279	2	0	0	0	2
578016	61	26	7	79	22	50
152859	13	0	0	0	0	0
696477	104	22	12	35	49	104
175298	1	0	0	1	0	0
583117	333	66	19	75	100	114
3765807	28	2	1	3	0	3
193968	14	3	1	32	45	37
4390365	76	8	0	6	0	0
365628	22	0	3	6	19	0
667570	56	128	5	25	92	3
210848	1	0	0	0	0	0
191483	335	2	0	8	0	2
243185	2	29	0	0	0	0
198272	2	1	0	4	0	0
1111294	130	551	46	120	1273	7
189960	2	0	0	3	3	7
331697	117	2	0	12	1	2
1042850	25	0	0	2	0	0
81298	6	21	0	1	3	8
968675	3	0	0	0	0	0
202367	2	0	0	1	0	0
568118	15	13	7	724	12	11
1108422	13	0	0	2	4	12
584541	2	1	0	1	15	28
180082	63	37	230	87	64	959
929836	26	0	0	2	1	0
4455163	27	1	0	0	5	12
210269	11	1	0	3	0	0
819999	7	3	0	2	0	0
305247	2	0	0	0	1	0
308081	9	0	0	1	0	0
1141218	26	56	0	3	0	4
194769	4	0	0	18	0	0
332732	60	32	22	220	137	1216
301578	218	11	4	34	156	26
988375	38	8	0	30	31	173
199716	21	1	2	2	22	8
1111874	69	263	9	48	260	3
4302904	23	11	0	9	2	15
348863	1	0	0	0	0	0
455671	28	198	0	17	0	31
1110763	27	26	2	26	51	1
1602307	32	1	0	5	0	1
3117556	14	5	0	0	6	15
