#OTU ID	A-1	A-2
ZOTU_1	0	0
ZOTU_2	223	447
ZOTU_3	0	0
ZOTU_4	0	0
ZOTU_5	0	0
ZOTU_6	1	2
ZOTU_7	0	0
ZOTU_8	0	0
ZOTU_9	0	0
ZOTU_10	0	0
ZOTU_11	0	0
ZOTU_12	0	0
ZOTU_13	0	0
ZOTU_14	0	1
ZOTU_15	0	0
ZOTU_16	860	867
ZOTU_17	829	645
ZOTU_18	0	0
ZOTU_19	779	632
ZOTU_20	694	645
ZOTU_21	724	549
ZOTU_22	0	0
ZOTU_23	603	529
ZOTU_24	550	547
ZOTU_25	0	0
ZOTU_26	607	409
ZOTU_27	1	0
ZOTU_28	550	385
ZOTU_29	457	356
ZOTU_30	3	4
ZOTU_31	0	0
ZOTU_32	0	0
ZOTU_33	401	376
ZOTU_34	405	396
ZOTU_35	0	0
ZOTU_36	4	2
ZOTU_37	0	0
ZOTU_38	346	316
ZOTU_39	0	0
ZOTU_40	0	0
ZOTU_41	0	0
ZOTU_42	310	370
ZOTU_43	292	273
ZOTU_44	0	0
ZOTU_45	296	226
ZOTU_46	0	0
ZOTU_47	329	259
ZOTU_48	344	269
ZOTU_49	0	0
ZOTU_50	297	284
ZOTU_51	286	288
ZOTU_52	261	279
ZOTU_53	271	241
ZOTU_54	0	0
ZOTU_55	0	0
ZOTU_56	0	0
ZOTU_57	318	232
ZOTU_58	244	231
ZOTU_59	233	251
ZOTU_60	277	246
ZOTU_61	0	0
ZOTU_62	0	0
ZOTU_63	0	0
ZOTU_64	0	0
ZOTU_65	0	0
ZOTU_66	186	183
ZOTU_67	4	4
ZOTU_68	0	0
ZOTU_69	207	216
ZOTU_70	0	0
ZOTU_71	0	0
ZOTU_72	49	53
ZOTU_73	225	231
ZOTU_74	236	204
ZOTU_75	0	0
ZOTU_76	0	0
ZOTU_77	0	0
ZOTU_78	2	2
ZOTU_79	202	189
ZOTU_80	206	161
ZOTU_81	0	0
ZOTU_82	191	183
