#OTU ID	B-1	B-2
ZOTU_1	87	278
ZOTU_2	1268	1583
ZOTU_3	162	159
ZOTU_4	99	50
ZOTU_5	1	8
ZOTU_6	9	16
ZOTU_7	73	41
ZOTU_8	1353	1231
ZOTU_9	1172	1022
ZOTU_10	0	0
ZOTU_11	984	995
ZOTU_12	1	0
ZOTU_13	1	0
ZOTU_14	113	132
ZOTU_15	514	421
ZOTU_16	0	0
ZOTU_17	0	0
ZOTU_18	44	25
ZOTU_19	0	0
ZOTU_20	0	0
ZOTU_21	0	0
ZOTU_22	75	73
ZOTU_23	0	0
ZOTU_24	1	0
ZOTU_25	409	425
ZOTU_26	0	0
ZOTU_27	149	154
ZOTU_28	0	0
ZOTU_29	0	0
ZOTU_30	186	232
ZOTU_31	8	8
ZOTU_32	378	272
ZOTU_33	0	0
ZOTU_34	0	0
ZOTU_35	0	0
ZOTU_36	309	317
ZOTU_37	351	324
ZOTU_38	0	0
ZOTU_39	1	1
ZOTU_40	334	305
ZOTU_41	303	234
ZOTU_42	0	0
ZOTU_43	0	0
ZOTU_44	310	280
ZOTU_45	0	0
ZOTU_46	11	6
ZOTU_47	0	0
ZOTU_48	1	1
ZOTU_49	0	0
ZOTU_50	1	1
ZOTU_51	0	0
ZOTU_52	0	0
ZOTU_53	0	0
ZOTU_54	267	181
ZOTU_55	246	257
ZOTU_56	239	171
ZOTU_57	0	0
ZOTU_58	0	0
ZOTU_59	0	0
ZOTU_60	0	0
ZOTU_61	3	5
ZOTU_62	163	190
ZOTU_63	232	191
ZOTU_64	223	200
ZOTU_65	192	180
ZOTU_66	0	0
ZOTU_67	237	228
ZOTU_68	9	4
ZOTU_69	0	0
ZOTU_70	14	14
ZOTU_71	0	0
ZOTU_72	3	1
ZOTU_73	0	0
ZOTU_74	0	0
ZOTU_75	231	150
ZOTU_76	10	8
ZOTU_77	371	75
ZOTU_78	77	61
ZOTU_79	0	0
ZOTU_80	0	0
ZOTU_81	163	174
ZOTU_82	0	0
ZOTU_83	160	202
ZOTU_84	0	0
ZOTU_85	0	0
ZOTU_86	177	139
ZOTU_87	66	55
ZOTU_88	0	0
ZOTU_89	1	1
ZOTU_90	0	0
ZOTU_91	1	2
ZOTU_92	0	0
ZOTU_93	147	108
ZOTU_94	116	134
ZOTU_95	188	43
ZOTU_96	0	0
ZOTU_97	18	316
ZOTU_98	16	7
ZOTU_99	0	0
ZOTU_100	0	0
