#OTU ID	C-1	C-2
ZOTU_1	1829	3608
ZOTU_2	52	69
ZOTU_3	1116	2021
ZOTU_4	1250	2172
ZOTU_5	1216	2143
ZOTU_6	1155	1938
ZOTU_7	1044	1883
ZOTU_8	2	1
ZOTU_9	1	2
ZOTU_10	889	1650
ZOTU_11	0	0
ZOTU_12	886	1503
ZOTU_13	795	1513
ZOTU_14	714	1236
ZOTU_15	359	559
ZOTU_16	0	0
ZOTU_17	0	0
ZOTU_18	614	1174
ZOTU_19	0	0
ZOTU_20	3	11
ZOTU_21	0	0
ZOTU_22	748	720
ZOTU_23	0	0
ZOTU_24	0	0
ZOTU_25	7	12
ZOTU_26	0	0
ZOTU_27	255	482
ZOTU_28	0	0
ZOTU_29	0	0
ZOTU_30	138	252
ZOTU_31	381	581
ZOTU_32	75	89
ZOTU_33	0	0
ZOTU_34	0	0
ZOTU_35	263	449
ZOTU_36	4	2
ZOTU_37	0	0
ZOTU_38	0	0
ZOTU_39	248	479
ZOTU_40	0	0
ZOTU_41	2	1
ZOTU_42	0	0
ZOTU_43	0	0
ZOTU_44	0	0
ZOTU_45	0	0
ZOTU_46	236	440
ZOTU_47	0	0
ZOTU_48	6	11
ZOTU_49	184	381
ZOTU_50	0	1
ZOTU_51	0	0
ZOTU_52	0	0
ZOTU_53	0	0
ZOTU_54	0	1
ZOTU_55	0	0
ZOTU_56	0	0
ZOTU_57	0	0
ZOTU_58	0	0
ZOTU_59	0	0
ZOTU_60	0	0
ZOTU_61	161	326
ZOTU_62	4	10
ZOTU_63	0	0
ZOTU_64	0	0
ZOTU_65	37	75
ZOTU_66	0	0
ZOTU_67	17	28
ZOTU_68	168	278
ZOTU_69	0	0
ZOTU_70	140	291
ZOTU_71	149	229
ZOTU_72	135	205
ZOTU_73	0	0
ZOTU_74	0	0
ZOTU_75	0	0
ZOTU_76	167	255
ZOTU_77	4	10
ZOTU_78	116	203
ZOTU_79	0	0
ZOTU_80	0	0
ZOTU_81	7	12
ZOTU_82	0	0
ZOTU_83	2	4
ZOTU_84	0	0
ZOTU_85	0	0
ZOTU_86	4	6
ZOTU_87	125	209
ZOTU_88	0	0
ZOTU_89	6	11
ZOTU_90	0	0
ZOTU_91	149	261
ZOTU_92	0	0
ZOTU_93	1	0
ZOTU_94	1	4
ZOTU_95	9	14
ZOTU_96	0	0
ZOTU_97	0	0
ZOTU_98	154	278
ZOTU_99	0	0
ZOTU_100	0	0
ZOTU_101	101	142
ZOTU_102	10	17
ZOTU_103	0	0
ZOTU_104	2	11
ZOTU_105	81	107
ZOTU_106	0	0
ZOTU_107	5	14
ZOTU_108	1	3
ZOTU_109	0	0
ZOTU_110	43	77
ZOTU_111	0	0
ZOTU_112	0	0
ZOTU_113	0	0
ZOTU_114	0	0
ZOTU_115	0	0
ZOTU_116	116	213
ZOTU_117	3	1
ZOTU_118	0	0
ZOTU_119	0	0
ZOTU_120	0	0
ZOTU_121	0	0
ZOTU_122	1	0
ZOTU_123	0	0
ZOTU_124	87	146
ZOTU_125	0	0
ZOTU_126	1	0
ZOTU_127	1	1
ZOTU_128	0	0
ZOTU_129	93	146
ZOTU_130	0	0
ZOTU_131	0	0
ZOTU_132	0	0
ZOTU_133	69	93
ZOTU_134	0	0
ZOTU_135	0	0
ZOTU_136	0	0
ZOTU_137	1	0
ZOTU_138	0	0
ZOTU_139	1	2
ZOTU_140	0	0
ZOTU_141	0	1
ZOTU_142	0	0
ZOTU_143	0	0
ZOTU_144	2	3
ZOTU_145	0	0
ZOTU_146	0	0
ZOTU_147	0	0
ZOTU_148	95	145
ZOTU_149	76	142
ZOTU_150	0	0
ZOTU_151	1	4
ZOTU_152	0	2
ZOTU_153	1	0
ZOTU_154	2	2
ZOTU_155	85	121
ZOTU_156	0	0
ZOTU_157	9	8
ZOTU_158	0	0
ZOTU_159	73	132
ZOTU_160	1	2
ZOTU_161	84	162
ZOTU_162	0	0
ZOTU_163	0	0
ZOTU_164	0	0
ZOTU_165	57	94
ZOTU_166	0	0
ZOTU_167	60	110
ZOTU_168	0	0
ZOTU_169	57	107
ZOTU_170	0	1
ZOTU_171	0	0
ZOTU_172	0	0
ZOTU_173	0	0
ZOTU_174	0	0
ZOTU_175	0	3
ZOTU_176	6	13
ZOTU_177	1	0
ZOTU_178	0	0
ZOTU_179	8	14
ZOTU_180	0	0
ZOTU_181	21	33
ZOTU_182	0	2
ZOTU_183	0	1
ZOTU_184	0	0
ZOTU_185	2	3
ZOTU_186	51	77
ZOTU_187	0	0
ZOTU_188	0	0
ZOTU_189	0	0
ZOTU_190	48	96
ZOTU_191	0	0
ZOTU_192	12	10
ZOTU_193	0	0
ZOTU_194	0	0
ZOTU_195	0	0
ZOTU_196	0	0
ZOTU_197	47	92
ZOTU_198	0	0
ZOTU_199	0	0
ZOTU_200	0	0
ZOTU_201	0	0
ZOTU_202	50	77
ZOTU_203	0	0
ZOTU_204	0	0
ZOTU_205	0	0
ZOTU_206	0	0
ZOTU_207	43	58
ZOTU_208	0	0
ZOTU_209	0	0
ZOTU_210	0	0
ZOTU_211	29	73
ZOTU_212	44	57
ZOTU_213	34	53
ZOTU_214	3	1
ZOTU_215	3	6
ZOTU_216	0	0
ZOTU_217	58	63
ZOTU_218	0	0
ZOTU_219	43	67
ZOTU_220	0	0
ZOTU_221	0	1
ZOTU_222	42	69
ZOTU_223	0	0
ZOTU_224	0	0
ZOTU_225	36	82
ZOTU_226	13	31
ZOTU_227	1	3
ZOTU_228	37	65
ZOTU_229	67	29
ZOTU_230	0	0
ZOTU_231	0	0
ZOTU_232	0	0
ZOTU_233	0	0
ZOTU_234	0	0
ZOTU_235	0	0
ZOTU_236	0	0
ZOTU_237	0	0
ZOTU_238	4	5
ZOTU_239	1	2
ZOTU_240	0	1
ZOTU_241	0	1
ZOTU_242	2	6
ZOTU_243	0	0
ZOTU_244	0	0
ZOTU_245	3	0
ZOTU_246	0	0
ZOTU_247	0	0
ZOTU_248	0	0
ZOTU_249	0	0
ZOTU_250	0	0
ZOTU_251	1	3
ZOTU_252	0	0
ZOTU_253	51	94
ZOTU_254	0	1
ZOTU_255	0	0
ZOTU_256	0	0
ZOTU_257	0	0
ZOTU_258	0	0
ZOTU_259	1	2
ZOTU_260	0	0
ZOTU_261	1	0
ZOTU_262	0	0
ZOTU_263	0	0
ZOTU_264	11	33
ZOTU_265	10	36
ZOTU_266	0	0
ZOTU_267	0	0
ZOTU_268	0	0
ZOTU_269	0	0
ZOTU_270	37	63
ZOTU_271	0	0
ZOTU_272	26	70
ZOTU_273	0	0
ZOTU_274	0	0
ZOTU_275	0	0
ZOTU_276	0	0
ZOTU_277	2	2
ZOTU_278	1	9
ZOTU_279	1	1
ZOTU_280	0	0
ZOTU_281	29	40
ZOTU_282	25	61
ZOTU_283	0	0
ZOTU_284	0	0
ZOTU_285	0	0
ZOTU_286	6	7
ZOTU_287	0	0
ZOTU_288	5	1
ZOTU_289	0	0
ZOTU_290	0	0
ZOTU_291	0	0
ZOTU_292	0	0
ZOTU_293	0	0
ZOTU_294	0	0
ZOTU_295	0	1
ZOTU_296	0	0
ZOTU_297	0	0
ZOTU_298	45	72
ZOTU_299	0	0
ZOTU_300	0	0
ZOTU_301	0	0
ZOTU_302	0	0
ZOTU_303	20	31
ZOTU_304	2	5
ZOTU_305	0	0
ZOTU_306	0	0
ZOTU_307	0	0
ZOTU_308	0	0
ZOTU_309	7	13
ZOTU_310	0	0
ZOTU_311	0	1
ZOTU_312	0	0
ZOTU_313	0	0
ZOTU_314	27	68
ZOTU_315	0	0
ZOTU_316	25	34
ZOTU_317	0	0
ZOTU_318	0	0
ZOTU_319	1	10
ZOTU_320	26	35
ZOTU_321	0	0
ZOTU_322	0	0
ZOTU_323	0	0
ZOTU_324	0	0
ZOTU_325	0	0
ZOTU_326	0	0
ZOTU_327	0	0
ZOTU_328	30	61
ZOTU_329	0	0
ZOTU_330	6	5
ZOTU_331	1	0
ZOTU_332	0	0
ZOTU_333	0	0
ZOTU_334	0	1
ZOTU_335	0	0
ZOTU_336	0	0
ZOTU_337	0	0
ZOTU_338	0	0
ZOTU_339	20	26
ZOTU_340	0	0
ZOTU_341	0	0
ZOTU_342	0	0
ZOTU_343	0	0
ZOTU_344	0	0
ZOTU_345	22	39
ZOTU_346	20	41
ZOTU_347	0	0
ZOTU_348	0	0
ZOTU_349	35	57
ZOTU_350	0	0
ZOTU_351	25	49
ZOTU_352	0	0
ZOTU_353	0	0
ZOTU_354	0	0
ZOTU_355	15	34
ZOTU_356	0	0
ZOTU_357	0	0
ZOTU_358	0	0
ZOTU_359	0	0
ZOTU_360	25	40
ZOTU_361	0	0
ZOTU_362	0	0
ZOTU_363	0	4
ZOTU_364	0	0
ZOTU_365	0	0
ZOTU_366	6	16
ZOTU_367	0	0
ZOTU_368	13	33
ZOTU_369	0	0
ZOTU_370	0	0
ZOTU_371	0	2
ZOTU_372	25	31
ZOTU_373	9	10
ZOTU_374	0	0
ZOTU_375	0	0
ZOTU_376	0	0
ZOTU_377	0	1
ZOTU_378	0	0
ZOTU_379	0	0
ZOTU_380	0	0
ZOTU_381	0	1
ZOTU_382	0	0
ZOTU_383	0	0
ZOTU_384	21	30
ZOTU_385	0	0
ZOTU_386	0	0
ZOTU_387	13	30
ZOTU_388	0	0
ZOTU_389	0	4
ZOTU_390	0	0
ZOTU_391	0	0
ZOTU_392	0	0
ZOTU_393	0	3
ZOTU_394	0	0
ZOTU_395	1	0
ZOTU_396	0	0
ZOTU_397	0	0
ZOTU_398	0	0
ZOTU_399	0	0
ZOTU_400	0	0
ZOTU_401	0	0
ZOTU_402	0	0
ZOTU_403	0	0
ZOTU_404	5	21
ZOTU_405	4	5
ZOTU_406	0	0
ZOTU_407	0	0
ZOTU_408	7	10
ZOTU_409	10	55
ZOTU_410	0	2
ZOTU_411	0	0
ZOTU_412	0	0
ZOTU_413	0	0
ZOTU_414	0	0
ZOTU_415	20	42
ZOTU_416	0	0
ZOTU_417	7	17
ZOTU_418	0	0
ZOTU_419	0	0
ZOTU_420	0	0
ZOTU_421	5	8
ZOTU_422	0	0
ZOTU_423	11	10
ZOTU_424	0	0
ZOTU_425	0	0
ZOTU_426	0	0
ZOTU_427	0	0
ZOTU_428	0	0
ZOTU_429	0	0
ZOTU_430	0	0
ZOTU_431	0	0
ZOTU_432	0	0
ZOTU_433	0	0
ZOTU_434	0	0
ZOTU_435	0	0
ZOTU_436	0	0
ZOTU_437	20	38
ZOTU_438	0	0
ZOTU_439	30	47
ZOTU_440	0	0
ZOTU_441	15	27
ZOTU_442	0	0
ZOTU_443	0	0
ZOTU_444	0	0
ZOTU_445	0	0
ZOTU_446	31	26
ZOTU_447	2	43
ZOTU_448	0	0
ZOTU_449	0	0
ZOTU_450	0	0
ZOTU_451	27	24
ZOTU_452	0	0
ZOTU_453	0	0
ZOTU_454	0	2
ZOTU_455	0	2
ZOTU_456	0	0
ZOTU_457	0	0
ZOTU_458	0	0
ZOTU_459	0	0
ZOTU_460	0	0
ZOTU_461	1	1
ZOTU_462	0	0
ZOTU_463	0	0
ZOTU_464	0	1
ZOTU_465	0	0
ZOTU_466	0	0
ZOTU_467	1	0
ZOTU_468	0	0
ZOTU_469	0	0
ZOTU_470	0	0
ZOTU_471	0	0
ZOTU_472	0	0
ZOTU_473	0	0
ZOTU_474	3	6
ZOTU_475	0	0
ZOTU_476	0	0
ZOTU_477	0	0
ZOTU_478	1	1
ZOTU_479	1	2
ZOTU_480	0	0
ZOTU_481	0	1
ZOTU_482	16	28
ZOTU_483	0	0
ZOTU_484	0	0
ZOTU_485	0	0
ZOTU_486	2	5
ZOTU_487	0	0
ZOTU_488	0	0
ZOTU_489	0	0
ZOTU_490	0	0
ZOTU_491	0	0
ZOTU_492	0	0
ZOTU_493	8	24
ZOTU_494	0	0
ZOTU_495	9	14
ZOTU_496	0	0
ZOTU_497	0	0
ZOTU_498	0	0
ZOTU_499	0	0
ZOTU_500	0	1
ZOTU_501	0	0
ZOTU_502	0	0
ZOTU_503	0	0
ZOTU_504	0	0
ZOTU_505	0	0
ZOTU_506	0	0
ZOTU_507	28	48
ZOTU_508	0	0
ZOTU_509	0	0
ZOTU_510	0	0
ZOTU_511	0	0
ZOTU_512	0	0
ZOTU_513	0	0
ZOTU_514	0	0
ZOTU_515	2	5
ZOTU_516	0	0
ZOTU_517	0	0
ZOTU_518	0	0
ZOTU_519	0	0
ZOTU_520	0	0
ZOTU_521	0	0
ZOTU_522	0	0
ZOTU_523	0	0
ZOTU_524	0	0
ZOTU_525	0	0
ZOTU_526	0	0
ZOTU_527	0	0
ZOTU_528	0	0
ZOTU_529	0	1
ZOTU_530	0	0
ZOTU_531	0	0
ZOTU_532	0	0
ZOTU_533	0	0
ZOTU_534	0	2
ZOTU_535	0	0
ZOTU_536	13	13
ZOTU_537	0	0
ZOTU_538	1	4
ZOTU_539	0	0
ZOTU_540	0	0
ZOTU_541	0	0
ZOTU_542	0	0
ZOTU_543	0	0
ZOTU_544	7	13
ZOTU_545	0	0
ZOTU_546	0	0
ZOTU_547	0	1
ZOTU_548	0	0
ZOTU_549	0	0
ZOTU_550	0	0
ZOTU_551	2	0
ZOTU_552	0	0
ZOTU_553	0	0
ZOTU_554	0	0
ZOTU_555	0	0
ZOTU_556	0	0
ZOTU_557	0	0
ZOTU_558	3	2
ZOTU_559	0	0
ZOTU_560	0	0
ZOTU_561	0	0
ZOTU_562	0	0
ZOTU_563	0	0
ZOTU_564	8	8
ZOTU_565	0	0
ZOTU_566	1	4
ZOTU_567	0	0
ZOTU_568	0	0
ZOTU_569	0	0
ZOTU_570	0	0
ZOTU_571	9	16
ZOTU_572	0	0
ZOTU_573	0	0
ZOTU_574	0	0
ZOTU_575	1	2
ZOTU_576	0	0
ZOTU_577	0	0
ZOTU_578	0	0
ZOTU_579	0	1
ZOTU_580	1	2
ZOTU_581	1	0
ZOTU_582	11	17
ZOTU_583	25	26
ZOTU_584	15	28
ZOTU_585	16	29
ZOTU_586	0	0
ZOTU_587	0	0
ZOTU_588	0	0
ZOTU_589	0	0
ZOTU_590	0	0
ZOTU_591	0	0
ZOTU_592	0	0
ZOTU_593	0	0
ZOTU_594	0	0
ZOTU_595	0	0
ZOTU_596	1	0
ZOTU_597	0	0
ZOTU_598	0	1
ZOTU_599	0	0
ZOTU_600	4	5
ZOTU_601	0	0
ZOTU_602	10	10
ZOTU_603	0	0
ZOTU_604	0	1
ZOTU_605	7	15
ZOTU_606	0	0
ZOTU_607	10	12
ZOTU_608	0	0
ZOTU_609	12	15
ZOTU_610	0	0
ZOTU_611	0	0
ZOTU_612	0	0
ZOTU_613	0	0
ZOTU_614	0	0
ZOTU_615	0	0
ZOTU_616	28	29
ZOTU_617	0	0
ZOTU_618	0	0
ZOTU_619	0	0
ZOTU_620	0	0
ZOTU_621	0	0
ZOTU_622	0	4
ZOTU_623	0	0
ZOTU_624	0	0
ZOTU_625	0	0
ZOTU_626	11	13
ZOTU_627	0	0
ZOTU_628	0	0
ZOTU_629	0	0
ZOTU_630	0	0
