#OTU ID	A-1	A-2	B-1	B-2	C-1	C-2
ZOTU_1	0	0	0.004627	0.01551	0.09528	0.1079
ZOTU_2	0.008106	0.01835	0.06743	0.08831	0.002709	0.002064
ZOTU_3	0	0	0.008615	0.00887	0.05814	0.06045
ZOTU_4	0	0	0.005265	0.002789	0.06512	0.06497
ZOTU_5	0	0	5.318e-05	0.0004463	0.06335	0.0641
ZOTU_6	3.635e-05	8.211e-05	0.0004786	0.0008926	0.06017	0.05797
ZOTU_7	0	0	0.003882	0.002287	0.05439	0.05633
ZOTU_8	0	0	0.07195	0.06867	0.0001042	2.991e-05
ZOTU_9	0	0	0.06233	0.05701	5.209e-05	5.983e-05
ZOTU_10	0	0	0	0	0.04631	0.04936
ZOTU_11	0	0	0.05233	0.05551	0	0
ZOTU_12	0	0	5.318e-05	0	0.04616	0.04496
ZOTU_13	0	0	5.318e-05	0	0.04141	0.04526
ZOTU_14	0	4.105e-05	0.006009	0.007364	0.0372	0.03697
ZOTU_15	0	0	0.02733	0.02349	0.0187	0.01672
ZOTU_16	0.03126	0.03559	0	0	0	0
ZOTU_17	0.03014	0.02648	0	0	0	0
ZOTU_18	0	0	0.00234	0.001395	0.03199	0.03512
ZOTU_19	0.02832	0.02595	0	0	0	0
ZOTU_20	0.02523	0.02648	0	0	0.0001563	0.000329
ZOTU_21	0.02632	0.02254	0	0	0	0
ZOTU_22	0	0	0.003989	0.004072	0.03897	0.02154
ZOTU_23	0.02192	0.02172	0	0	0	0
ZOTU_24	0.01999	0.02246	5.318e-05	0	0	0
ZOTU_25	0	0	0.02175	0.02371	0.0003647	0.000359
ZOTU_26	0.02207	0.01679	0	0	0	0
ZOTU_27	3.635e-05	0	0.007924	0.008591	0.01328	0.01442
ZOTU_28	0.01999	0.01581	0	0	0	0
ZOTU_29	0.01661	0.01461	0	0	0	0
ZOTU_30	0.0001091	0.0001642	0.009892	0.01294	0.007189	0.007538
ZOTU_31	0	0	0.0004254	0.0004463	0.01985	0.01738
ZOTU_32	0	0	0.0201	0.01517	0.003907	0.002662
ZOTU_33	0.01458	0.01544	0	0	0	0
ZOTU_34	0.01472	0.01626	0	0	0	0
ZOTU_35	0	0	0	0	0.0137	0.01343
ZOTU_36	0.0001454	8.211e-05	0.01643	0.01768	0.0002084	5.983e-05
ZOTU_37	0	0	0.01867	0.01807	0	0
ZOTU_38	0.01258	0.01297	0	0	0	0
ZOTU_39	0	0	5.318e-05	5.578e-05	0.01292	0.01433
ZOTU_40	0	0	0.01776	0.01701	0	0
ZOTU_41	0	0	0.01611	0.01305	0.0001042	2.991e-05
ZOTU_42	0.01127	0.01519	0	0	0	0
ZOTU_43	0.01061	0.01121	0	0	0	0
ZOTU_44	0	0	0.01649	0.01562	0	0
ZOTU_45	0.01076	0.009278	0	0	0	0
ZOTU_46	0	0	0.000585	0.0003347	0.01229	0.01316
ZOTU_47	0.01196	0.01063	0	0	0	0
ZOTU_48	0.0125	0.01104	5.318e-05	5.578e-05	0.0003126	0.000329
ZOTU_49	0	0	0	0	0.009585	0.0114
ZOTU_50	0.0108	0.01166	5.318e-05	5.578e-05	0	2.991e-05
ZOTU_51	0.0104	0.01182	0	0	0	0
ZOTU_52	0.009488	0.01145	0	0	0	0
ZOTU_53	0.009851	0.009894	0	0	0	0
ZOTU_54	0	0	0.0142	0.0101	0	2.991e-05
ZOTU_55	0	0	0.01308	0.01434	0	0
ZOTU_56	0	0	0.01271	0.009539	0	0
ZOTU_57	0.01156	0.009524	0	0	0	0
ZOTU_58	0.00887	0.009483	0	0	0	0
ZOTU_59	0.00847	0.0103	0	0	0	0
ZOTU_60	0.01007	0.0101	0	0	0	0
ZOTU_61	0	0	0.0001595	0.0002789	0.008387	0.009752
ZOTU_62	0	0	0.008668	0.0106	0.0002084	0.0002991
ZOTU_63	0	0	0.01234	0.01065	0	0
ZOTU_64	0	0	0.01186	0.01116	0	0
ZOTU_65	0	0	0.01021	0.01004	0.001927	0.002243
ZOTU_66	0.006761	0.007513	0	0	0	0
ZOTU_67	0.0001454	0.0001642	0.0126	0.01272	0.0008856	0.0008376
ZOTU_68	0	0	0.0004786	0.0002231	0.008752	0.008316
ZOTU_69	0.007525	0.008867	0	0	0	0
ZOTU_70	0	0	0.0007445	0.000781	0.007293	0.008705
ZOTU_71	0	0	0	0	0.007762	0.00685
ZOTU_72	0.001781	0.002176	0.0001595	5.578e-05	0.007033	0.006132
ZOTU_73	0.008179	0.009483	0	0	0	0
ZOTU_74	0.008579	0.008375	0	0	0	0
ZOTU_75	0	0	0.01228	0.008368	0	0
ZOTU_76	0	0	0.0005318	0.0004463	0.0087	0.007628
ZOTU_77	0	0	0.01973	0.004184	0.0002084	0.0002991
ZOTU_78	7.27e-05	8.211e-05	0.004095	0.003403	0.006043	0.006072
ZOTU_79	0.007343	0.007759	0	0	0	0
ZOTU_80	0.007488	0.006609	0	0	0	0
ZOTU_81	0	0	0.008668	0.009707	0.0003647	0.000359
ZOTU_82	0.006943	0.007513	0	0	0	0
ZOTU_83	0	0	0.008509	0.01127	0.0001042	0.0001197
ZOTU_84	0.009306	0.007102	0	0	0	0
ZOTU_85	0.006252	0.00624	0	0	0	0
