A1_1	HISEQ:483:HLJ2LBCXY:1:1111:14104:10730
A1_2	HISEQ:483:HLJ2LBCXY:1:2112:7631:97645
A1_3	HISEQ:483:HLJ2LBCXY:1:1204:10672:14348
A1_4	HISEQ:483:HLJ2LBCXY:1:1208:10369:65205
A1_5	HISEQ:483:HLJ2LBCXY:1:1110:8032:54809
A1_6	HISEQ:483:HLJ2LBCXY:1:2108:16285:9884
A1_7	HISEQ:483:HLJ2LBCXY:1:1213:16396:2776
A1_8	HISEQ:483:HLJ2LBCXY:1:2110:12626:4494
A1_9	HISEQ:483:HLJ2LBCXY:1:2111:20559:2859
A1_10	HISEQ:483:HLJ2LBCXY:1:2205:18697:12821
A1_11	HISEQ:483:HLJ2LBCXY:1:2215:3128:22318
A1_12	HISEQ:483:HLJ2LBCXY:1:2211:3826:37191
A1_13	HISEQ:483:HLJ2LBCXY:1:2106:7411:43470
A1_14	HISEQ:483:HLJ2LBCXY:1:1204:10695:83423
A1_15	HISEQ:483:HLJ2LBCXY:1:1108:7113:3167
A1_16	HISEQ:483:HLJ2LBCXY:1:1107:9205:37864
A1_17	HISEQ:483:HLJ2LBCXY:1:2214:4600:13315
A1_18	HISEQ:483:HLJ2LBCXY:1:1207:7386:22070
A1_19	HISEQ:483:HLJ2LBCXY:1:1214:8332:72978
A1_20	HISEQ:483:HLJ2LBCXY:1:2201:6367:37228
A1_21	HISEQ:483:HLJ2LBCXY:1:2106:10223:57677
A1_22	HISEQ:483:HLJ2LBCXY:1:2206:12920:87393
A1_23	HISEQ:483:HLJ2LBCXY:1:2201:9293:64676
A1_24	HISEQ:483:HLJ2LBCXY:1:1109:14708:88285
A1_25	HISEQ:483:HLJ2LBCXY:1:2212:16759:96329
A1_26	HISEQ:483:HLJ2LBCXY:1:2110:13818:45043
A1_27	HISEQ:483:HLJ2LBCXY:1:2104:14157:63095
A1_28	HISEQ:483:HLJ2LBCXY:1:1214:11740:25754
A1_29	HISEQ:483:HLJ2LBCXY:1:1104:13486:37174
A1_30	HISEQ:483:HLJ2LBCXY:1:2212:7469:90496
A1_31	HISEQ:483:HLJ2LBCXY:1:1208:20388:94990
A1_32	HISEQ:483:HLJ2LBCXY:1:2211:6072:63002
A1_33	HISEQ:483:HLJ2LBCXY:1:1207:8871:86022
A1_34	HISEQ:483:HLJ2LBCXY:1:2105:20482:26300
A1_35	HISEQ:483:HLJ2LBCXY:1:2215:14121:79056
A1_36	HISEQ:483:HLJ2LBCXY:1:1107:8806:99246
A1_37	HISEQ:483:HLJ2LBCXY:1:1202:19286:37487
A1_38	HISEQ:483:HLJ2LBCXY:1:2205:12205:45353
A1_39	HISEQ:483:HLJ2LBCXY:1:1213:7399:39953
A1_40	HISEQ:483:HLJ2LBCXY:1:1208:4981:32182
A1_41	HISEQ:483:HLJ2LBCXY:1:1208:13020:87139
A1_42	HISEQ:483:HLJ2LBCXY:1:1205:4936:97661
A1_43	HISEQ:483:HLJ2LBCXY:1:1107:11638:46839
A1_44	HISEQ:483:HLJ2LBCXY:1:2211:3664:24363
A1_45	HISEQ:483:HLJ2LBCXY:1:1206:1490:55623
A1_46	HISEQ:483:HLJ2LBCXY:1:2202:2849:39843
A1_47	HISEQ:483:HLJ2LBCXY:1:1109:15799:71347
A1_48	HISEQ:483:HLJ2LBCXY:1:1208:4007:56044
