#OTU ID	A-1
ZOTU_24	550
ZOTU_113	136
ZOTU_52	261
ZOTU_173	88
ZOTU_201	58
ZOTU_69	207
ZOTU_60	277
ZOTU_391	28
ZOTU_21	724
ZOTU_276	38
ZOTU_539	38
ZOTU_42	310
ZOTU_554	27
ZOTU_43	292
ZOTU_131	95
ZOTU_16	860
ZOTU_223	50
ZOTU_19	779
ZOTU_285	48
ZOTU_367	19
ZOTU_50	297
ZOTU_120	156
ZOTU_28	550
ZOTU_48	344
ZOTU_646	37
ZOTU_271	56
ZOTU_236	63
ZOTU_389	30
ZOTU_183	66
ZOTU_45	296
ZOTU_38	346
ZOTU_527	16
ZOTU_390	39
ZOTU_29	457
ZOTU_232	51
ZOTU_464	24
ZOTU_57	318
ZOTU_20	694
ZOTU_88	161
ZOTU_17	829
ZOTU_400	33
ZOTU_209	73
ZOTU_247	53
ZOTU_638	15
ZOTU_114	111
ZOTU_135	94
ZOTU_89	173
ZOTU_34	405
ZOTU_58	244
ZOTU_118	138
ZOTU_462	23
ZOTU_312	33
ZOTU_196	89
ZOTU_619	44
ZOTU_621	16
ZOTU_498	25
ZOTU_51	286
ZOTU_255	33
ZOTU_375	35
ZOTU_162	75
ZOTU_82	191
ZOTU_163	76
ZOTU_427	18
ZOTU_180	80
ZOTU_193	114
ZOTU_187	53
ZOTU_206	53
ZOTU_80	206
ZOTU_199	51
ZOTU_297	36
ZOTU_26	607
ZOTU_96	156
ZOTU_203	61
ZOTU_266	40
ZOTU_357	36
ZOTU_2	223
ZOTU_295	44
ZOTU_79	202
ZOTU_73	225
ZOTU_145	101
ZOTU_59	233
ZOTU_123	119
ZOTU_66	186
ZOTU_111	130
ZOTU_287	45
ZOTU_476	24
ZOTU_143	79
ZOTU_125	144
ZOTU_250	45
ZOTU_299	35
ZOTU_72	49
ZOTU_100	144
ZOTU_92	122
ZOTU_533	45
ZOTU_249	52
ZOTU_280	30
ZOTU_522	25
ZOTU_637	28
ZOTU_382	49
ZOTU_99	142
ZOTU_672	9
ZOTU_535	41
ZOTU_237	36
ZOTU_306	53
ZOTU_440	26
ZOTU_434	23
ZOTU_158	90
ZOTU_512	18
ZOTU_361	27
ZOTU_525	17
ZOTU_47	329
ZOTU_33	401
ZOTU_310	38
ZOTU_380	37
ZOTU_296	56
ZOTU_323	30
ZOTU_147	94
ZOTU_256	59
ZOTU_136	98
ZOTU_23	603
ZOTU_612	13
ZOTU_531	25
ZOTU_191	62
ZOTU_90	237
ZOTU_540	38
ZOTU_74	236
ZOTU_150	113
ZOTU_502	35
ZOTU_381	19
ZOTU_625	8
ZOTU_509	21
ZOTU_218	58
ZOTU_412	24
ZOTU_184	89
ZOTU_134	105
ZOTU_374	28
ZOTU_294	26
ZOTU_578	17
ZOTU_279	47
ZOTU_171	116
ZOTU_302	4
ZOTU_683	12
ZOTU_53	271
ZOTU_487	18
ZOTU_291	40
ZOTU_664	11
ZOTU_141	116
ZOTU_84	256
ZOTU_321	47
ZOTU_267	49
ZOTU_194	77
ZOTU_222	10
ZOTU_174	68
ZOTU_106	120
ZOTU_503	20
ZOTU_216	44
ZOTU_483	21
ZOTU_466	23
ZOTU_112	140
ZOTU_178	64
ZOTU_458	26
ZOTU_327	32
ZOTU_348	34
ZOTU_481	44
ZOTU_275	36
ZOTU_109	84
ZOTU_392	15
ZOTU_338	56
ZOTU_168	98
ZOTU_119	118
ZOTU_85	172
ZOTU_248	47
ZOTU_559	57
ZOTU_444	41
ZOTU_398	23
ZOTU_494	25
ZOTU_379	36
ZOTU_195	74
ZOTU_573	18
ZOTU_472	20
ZOTU_164	79
ZOTU_132	94
ZOTU_608	29
ZOTU_471	26
ZOTU_322	34
ZOTU_443	23
ZOTU_442	31
ZOTU_290	70
ZOTU_383	37
ZOTU_511	10
ZOTU_172	89
ZOTU_307	27
ZOTU_262	55
