#OTU ID	B-1
ZOTU_64	223
ZOTU_75	231
ZOTU_11	984
ZOTU_104	151
ZOTU_95	188
ZOTU_284	32
ZOTU_62	163
ZOTU_30	186
ZOTU_288	28
ZOTU_25	409
ZOTU_2	1268
ZOTU_489	17
ZOTU_478	34
ZOTU_144	84
ZOTU_396	49
ZOTU_63	232
ZOTU_37	351
ZOTU_65	192
ZOTU_44	310
ZOTU_8	1353
ZOTU_108	93
ZOTU_54	267
ZOTU_81	163
ZOTU_127	114
ZOTU_117	93
ZOTU_32	378
ZOTU_160	69
ZOTU_83	160
ZOTU_492	9
ZOTU_41	303
ZOTU_566	15
ZOTU_329	37
ZOTU_416	47
ZOTU_55	246
ZOTU_140	101
ZOTU_56	239
ZOTU_40	334
ZOTU_153	110
ZOTU_86	177
ZOTU_300	27
ZOTU_342	10
ZOTU_214	43
ZOTU_152	79
ZOTU_662	15
ZOTU_222	19
ZOTU_9	1172
ZOTU_121	81
ZOTU_198	96
ZOTU_110	29
ZOTU_15	514
ZOTU_238	36
ZOTU_278	36
ZOTU_230	47
ZOTU_624	23
ZOTU_177	54
ZOTU_261	52
ZOTU_330	37
ZOTU_364	20
ZOTU_188	93
ZOTU_93	147
ZOTU_126	149
ZOTU_122	115
ZOTU_87	66
ZOTU_67	237
ZOTU_94	116
ZOTU_234	45
ZOTU_309	18
ZOTU_455	28
ZOTU_224	43
ZOTU_557	12
ZOTU_439	16
ZOTU_36	309
ZOTU_319	29
ZOTU_78	77
ZOTU_189	69
ZOTU_1	87
ZOTU_575	19
ZOTU_4	99
ZOTU_221	54
ZOTU_14	113
ZOTU_185	71
ZOTU_265	37
ZOTU_404	17
ZOTU_220	47
ZOTU_192	50
ZOTU_607	3
ZOTU_461	52
ZOTU_77	371
ZOTU_429	22
ZOTU_645	15
ZOTU_277	44
ZOTU_303	31
ZOTU_102	130
ZOTU_411	33
ZOTU_341	60
ZOTU_629	18
ZOTU_242	37
ZOTU_631	4
ZOTU_669	18
ZOTU_517	21
ZOTU_676	20
ZOTU_420	18
ZOTU_200	84
ZOTU_302	28
ZOTU_157	55
ZOTU_3	162
ZOTU_27	149
ZOTU_154	38
ZOTU_215	42
ZOTU_388	26
ZOTU_680	4
ZOTU_622	12
ZOTU_137	93
ZOTU_385	23
ZOTU_176	73
ZOTU_210	39
ZOTU_226	37
ZOTU_182	111
ZOTU_170	58
ZOTU_7	73
ZOTU_130	97
ZOTU_332	31
ZOTU_418	22
ZOTU_410	19
ZOTU_402	21
ZOTU_101	32
ZOTU_115	119
ZOTU_407	24
ZOTU_641	13
ZOTU_334	32
ZOTU_426	30
ZOTU_318	25
ZOTU_311	24
ZOTU_259	51
ZOTU_107	126
ZOTU_352	24
ZOTU_454	19
ZOTU_227	62
ZOTU_340	29
ZOTU_377	33
ZOTU_467	23
ZOTU_448	16
ZOTU_551	20
ZOTU_652	12
ZOTU_204	51
ZOTU_479	12
ZOTU_175	62
ZOTU_181	60
ZOTU_432	21
ZOTU_562	18
ZOTU_435	48
ZOTU_618	21
ZOTU_415	8
ZOTU_496	21
ZOTU_507	7
ZOTU_272	4
ZOTU_286	37
ZOTU_231	12
ZOTU_264	16
ZOTU_673	2
ZOTU_538	9
ZOTU_417	22
ZOTU_245	41
ZOTU_22	75
ZOTU_48	1
ZOTU_241	15
ZOTU_405	6
ZOTU_515	3
ZOTU_91	1
ZOTU_304	39
ZOTU_165	16
ZOTU_500	16
ZOTU_68	9
ZOTU_386	35
ZOTU_414	10
ZOTU_581	9
ZOTU_98	16
ZOTU_464	2
ZOTU_514	19
ZOTU_257	50
ZOTU_133	34
ZOTU_469	19
ZOTU_258	33
ZOTU_228	3
ZOTU_363	20
ZOTU_633	9
ZOTU_355	7
ZOTU_395	19
ZOTU_18	44
ZOTU_437	9
ZOTU_548	14
ZOTU_239	53
ZOTU_354	21
ZOTU_251	27
ZOTU_408	23
ZOTU_105	46
ZOTU_421	17
ZOTU_486	13
ZOTU_97	18
ZOTU_240	12
ZOTU_422	21
ZOTU_151	24
ZOTU_179	51
ZOTU_671	1
ZOTU_594	8
ZOTU_246	47
ZOTU_368	1
ZOTU_553	10
ZOTU_579	17
ZOTU_521	20
ZOTU_46	11
ZOTU_592	15
ZOTU_148	1
ZOTU_389	4
ZOTU_281	16
ZOTU_356	3
ZOTU_344	4
ZOTU_651	10
ZOTU_6	9
ZOTU_623	13
ZOTU_419	16
ZOTU_546	29
ZOTU_474	4
ZOTU_563	25
ZOTU_253	4
ZOTU_186	3
ZOTU_373	24
ZOTU_495	10
ZOTU_167	7
ZOTU_598	1
ZOTU_657	7
ZOTU_490	13
ZOTU_393	18
ZOTU_70	14
ZOTU_653	8
ZOTU_441	13
ZOTU_659	6
ZOTU_526	15
ZOTU_31	8
ZOTU_585	3
ZOTU_534	15
ZOTU_640	7
ZOTU_577	15
ZOTU_583	3
ZOTU_366	5
ZOTU_39	1
ZOTU_24	1
ZOTU_229	1
ZOTU_663	6
ZOTU_207	2
ZOTU_61	3
ZOTU_197	2
ZOTU_339	5
ZOTU_155	2
ZOTU_642	1
ZOTU_76	10
ZOTU_89	1
ZOTU_213	2
ZOTU_320	4
ZOTU_316	2
ZOTU_129	1
ZOTU_371	1
ZOTU_609	2
ZOTU_72	3
ZOTU_217	6
ZOTU_423	13
ZOTU_446	1
ZOTU_114	1
ZOTU_225	2
ZOTU_451	1
ZOTU_477	5
ZOTU_362	2
ZOTU_626	1
ZOTU_351	6
ZOTU_149	2
ZOTU_493	2
ZOTU_638	1
ZOTU_600	3
ZOTU_584	1
ZOTU_13	1
ZOTU_50	1
ZOTU_143	1
ZOTU_616	1
ZOTU_482	1
ZOTU_468	1
ZOTU_116	1
ZOTU_537	1
ZOTU_5	1
ZOTU_675	1
ZOTU_12	1
ZOTU_582	1
