#OTU ID	A-1	A-2	B-1	B-2	C-1	C-2	taxonomy
ZOTU_1	0	0	87	278	1829	3608	d:Bacteria,p:"Proteobacteria",c:Epsilonproteobacteria,o:Campylobacterales,f:Campylobacteraceae,g:Arcobacter
ZOTU_2	223	447	1268	1583	52	69	d:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria,o:Oceanospirillales,f:Halomonadaceae,g:Halomonas
ZOTU_3	0	0	162	159	1116	2021	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Roseomonas
ZOTU_4	0	0	99	50	1250	2172	d:Bacteria,p:"Bacteroidetes",c:"Bacteroidia",o:"Bacteroidales",f:"Porphyromonadaceae"
ZOTU_5	0	0	1	8	1216	2143	d:Bacteria,p:"Bacteroidetes"
ZOTU_6	1	2	9	16	1155	1938	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales,f:Rhizobiaceae
ZOTU_7	0	0	73	41	1044	1883	d:Bacteria,p:"Bacteroidetes",c:"Bacteroidia",o:"Bacteroidales",f:"Porphyromonadaceae"
ZOTU_8	0	0	1353	1231	2	1	d:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria,o:Alteromonadales,f:Alteromonadaceae,g:Alishewanella
ZOTU_9	0	0	1172	1022	1	2	d:Bacteria,p:"Bacteroidetes",c:Flavobacteriia,o:"Flavobacteriales",f:Flavobacteriaceae,g:Flavobacterium
ZOTU_10	0	0	0	0	889	1650	d:Bacteria,p:"Bacteroidetes",c:"Bacteroidia",o:"Bacteroidales",f:"Porphyromonadaceae"
ZOTU_11	0	0	984	995	0	0	d:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria,o:Chromatiales
ZOTU_12	0	0	1	0	886	1503	d:Bacteria,p:"Bacteroidetes",c:"Bacteroidia",o:"Bacteroidales",f:"Porphyromonadaceae",g:Petrimonas,s:Petrimonas_sulfuriphila
ZOTU_13	0	0	1	0	795	1513	d:Bacteria,p:"Proteobacteria",c:Deltaproteobacteria,o:Desulfuromonadales,f:Desulfuromonadaceae,g:Pelobacter,s:Pelobacter_seleniigenes
ZOTU_14	0	1	113	132	714	1236	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales,f:Rhizobiaceae,g:Rhizobium
ZOTU_15	0	0	514	421	359	559	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodobacterales,f:Rhodobacteraceae
ZOTU_16	860	867	0	0	0	0	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales
