#OTU ID	A-1	A-2	B-1	B-2	C-1	C-2
ZOTU_1	0	0	87	278	1829	3608
ZOTU_2	223	447	1268	1583	52	69
ZOTU_3	0	0	162	159	1116	2021
ZOTU_4	0	0	99	50	1250	2172
ZOTU_5	0	0	1	8	1216	2143
ZOTU_6	1	2	9	16	1155	1938
ZOTU_7	0	0	73	41	1044	1883
ZOTU_8	0	0	1353	1231	2	1
ZOTU_9	0	0	1172	1022	1	2
ZOTU_10	0	0	0	0	889	1650
ZOTU_11	0	0	984	995	0	0
ZOTU_12	0	0	1	0	886	1503
ZOTU_13	0	0	1	0	795	1513
ZOTU_14	0	1	113	132	714	1236
ZOTU_15	0	0	514	421	359	559
ZOTU_16	860	867	0	0	0	0
ZOTU_17	829	645	0	0	0	0
ZOTU_18	0	0	44	25	614	1174
ZOTU_19	779	632	0	0	0	0
ZOTU_20	694	645	0	0	3	11
ZOTU_21	724	549	0	0	0	0
ZOTU_22	0	0	75	73	748	720
ZOTU_23	603	529	0	0	0	0
ZOTU_24	550	547	1	0	0	0
ZOTU_25	0	0	409	425	7	12
ZOTU_26	607	409	0	0	0	0
ZOTU_27	1	0	149	154	255	482
ZOTU_28	550	385	0	0	0	0
ZOTU_29	457	356	0	0	0	0
ZOTU_30	3	4	186	232	138	252
ZOTU_31	0	0	8	8	381	581
ZOTU_32	0	0	378	272	75	89
ZOTU_33	401	376	0	0	0	0
ZOTU_34	405	396	0	0	0	0
ZOTU_35	0	0	0	0	263	449
ZOTU_36	4	2	309	317	4	2
ZOTU_37	0	0	351	324	0	0
ZOTU_38	346	316	0	0	0	0
ZOTU_39	0	0	1	1	248	479
ZOTU_40	0	0	334	305	0	0
ZOTU_41	0	0	303	234	2	1
ZOTU_42	310	370	0	0	0	0
ZOTU_43	292	273	0	0	0	0
ZOTU_44	0	0	310	280	0	0
ZOTU_45	296	226	0	0	0	0
ZOTU_46	0	0	11	6	236	440
ZOTU_47	329	259	0	0	0	0
ZOTU_48	344	269	1	1	6	11
ZOTU_49	0	0	0	0	184	381
ZOTU_50	297	284	1	1	0	1
ZOTU_51	286	288	0	0	0	0
ZOTU_52	261	279	0	0	0	0
ZOTU_53	271	241	0	0	0	0
ZOTU_54	0	0	267	181	0	1
ZOTU_55	0	0	246	257	0	0
ZOTU_56	0	0	239	171	0	0
ZOTU_57	318	232	0	0	0	0
ZOTU_58	244	231	0	0	0	0
ZOTU_59	233	251	0	0	0	0
ZOTU_60	277	246	0	0	0	0
ZOTU_61	0	0	3	5	161	326
ZOTU_62	0	0	163	190	4	10
ZOTU_63	0	0	232	191	0	0
ZOTU_64	0	0	223	200	0	0
ZOTU_65	0	0	192	180	37	75
ZOTU_66	186	183	0	0	0	0
ZOTU_67	4	4	237	228	17	28
ZOTU_68	0	0	9	4	168	278
ZOTU_69	207	216	0	0	0	0
ZOTU_70	0	0	14	14	140	291
ZOTU_71	0	0	0	0	149	229
ZOTU_72	49	53	3	1	135	205
ZOTU_73	225	231	0	0	0	0
ZOTU_74	236	204	0	0	0	0
ZOTU_75	0	0	231	150	0	0
ZOTU_76	0	0	10	8	167	255
ZOTU_77	0	0	371	75	4	10
ZOTU_78	2	2	77	61	116	203
ZOTU_79	202	189	0	0	0	0
ZOTU_80	206	161	0	0	0	0
ZOTU_81	0	0	163	174	7	12
ZOTU_82	191	183	0	0	0	0
ZOTU_83	0	0	160	202	2	4
ZOTU_84	256	173	0	0	0	0
ZOTU_85	172	152	0	0	0	0
