#level	A-1	A-2	B-1	B-2	C-1	C-2
Chrysiogenetes	0	0	0.007924	0.005523	5.209e-05	0
Alphaproteobacteria	0.4395	0.4364	0.1709	0.1756	0.246	0.2452
Bacilli	0.009561	0.01363	0	0	0	0
Acidobacteria_Gp16	0.005708	0.002381	0	0	0	0
Cytophagia	0.009779	0.003243	0	0	0	0
Gammaproteobacteria	0.11	0.1195	0.4501	0.5005	0.04069	0.03828
Epsilonproteobacteria	0	0	0.02813	0.03782	0.09867	0.1114
Flavobacteriia	0	0	0.09673	0.09232	0.001042	0.000987
Gemmatimonadetes	0.003236	0.002874	0	0	0	0
Deferribacteres	0	0	5.318e-05	5.578e-05	0.001459	0.0008674
Betaproteobacteria	0.00309	0.002668	0.09844	0.08117	0.08293	0.05931
"Methanomicrobia"	0	0	5.318e-05	0.0001674	0.00349	0.0008674
Thermomicrobia	0.001163	0.001149	0	0	0	0
Fusobacteriia	0	0	0.002287	0.00145	0	0
Ignavibacteria	0.0009089	0.0005337	0.0006913	0.0004463	0.0001042	0.0001495
Clostridia	3.635e-05	8.211e-05	0.05733	0.05389	0.01891	0.01824
"Bacteroidia"	0	0	0.05355	0.01852	0.2961	0.306
Deltaproteobacteria	0.003381	0.004023	0.003616	0.00251	0.05277	0.05587
Spartobacteria	0.006326	0.01117	0	0	0	0
Mollicutes	0	0	0.007073	0.002901	0.0003126	0.0003888
Sphingobacteriia	0.1222	0.1248	0.004148	0.004295	0.0003647	0.0002991
Actinobacteria	0.2083	0.2063	0.006116	0.013	0.04715	0.04914
Opitutae	0.0004363	0.0006158	0	0	0	0
Acidobacteria_Gp1	0.002472	0.002709	0	0	0	0
Synergistia	0	0	0.001383	0.0008926	0.005053	0.004337
Acidobacteria_Gp3	0.03094	0.03054	0	0	0	0
Acidobacteria_Gp4	0.002654	0.001314	5.318e-05	0	0	0
Acidobacteria_Gp6	0.007925	0.006651	0	0	0	0
Above_class	0.03236	0.02952	0.01096	0.008535	0.09622	0.101
Spirochaetia	0	0	0.0005318	0.0004463	0.0087	0.007627
