#level	A-1	A-2	B-1	B-2	C-1	C-2
Sneathiellales	0.0005089	0.0005747	0	0	0.0003126	8.973e-05
Alphaproteobacteria_incertae_sedis	0.001672	0.001683	0	0	0	0
Actinomycetales	0.1992	0.1977	0.006116	0.013	0.04715	0.04914
Cytophagales	0.009779	0.003243	0	0	0	0
Desulfobacterales	0	0	0.0001064	5.578e-05	0.003959	0.004247
Acholeplasmatales	0	0	0.007073	0.002901	0.0003126	0.0003888
Oceanospirillales	0.008215	0.01835	0.1287	0.144	0.002865	0.002124
Above_order	0.1813	0.177	0.06281	0.05718	0.1035	0.1068
"Flavobacteriales"	0	0	0.09673	0.09232	0.001042	0.000987
Gemmatimonadales	0.0007634	0.0009032	0	0	0	0
Desulfuromonadales	0	0	0.0003191	0.0002789	0.04772	0.05064
"Enterobacteriales"	0	0	0.005265	0.003347	0	0
Rhodospirillales	0.05049	0.05526	0.01643	0.01501	0.06152	0.06403
Solirubrobacterales	0.002508	0.002833	0	0	0	0
Rhodobacterales	3.635e-05	0	0.07498	0.07364	0.02073	0.01911
Rhodocyclales	0	0	0.05674	0.04519	0.0708	0.04893
Bacillales	0.00429	0.006404	0	0	0	0
Ignavibacteriales	0.0009088	0.0005337	0.0006913	0.0004463	0.0001042	0.0001495
Chromatiales	0.003344	0.002094	0.07009	0.07252	0	0
Opitutales	0.0004362	0.0006158	0	0	0	0
"Vibrionales"	0	0	0.006648	0.004128	0.01391	0.01394
Lactobacillales	0.005271	0.007225	0	0	0	0
Rhizobiales	0.1996	0.2014	0.04313	0.04993	0.1305	0.1289
Myxococcales	0.003381	0.004023	0	0	0	0
Pseudomonadales	0.003054	0.003531	0.06009	0.0988	0.005574	0.004875
Burkholderiales	0.002726	0.002504	0.04137	0.03598	0.009116	0.008494
Desulfovibrionales	0	0	0.003191	0.002176	0.001094	0.000987
Aeromonadales	0	0	0.002606	0.004072	0	0
Methanomicrobiales	0	0	5.318e-05	0.0001674	0.00349	0.0008674
Alteromonadales	0	0	0.1293	0.1285	0.01787	0.01693
Caulobacterales	0.001163	0.001149	0.01106	0.01367	0.006772	0.00661
Campylobacterales	0	0	0.02813	0.03782	0.09867	0.1114
Xanthomonadales	0.07296	0.06995	0	0	0	0
"Sphingobacteriales"	0.1222	0.1248	0.004148	0.004295	0.0003647	0.0002991
"Fusobacteriales"	0	0	0.002287	0.00145	0	0
Sphingomonadales	0.1248	0.1165	0.02154	0.02014	0.02433	0.02488
Synergistales	0	0	0.001383	0.0008926	0.005053	0.004337
Acidimicrobiales	0.001309	0.001642	0	0	0	0
Spirochaetales	0	0	0.0005318	0.0004463	0.0087	0.007627
Chrysiogenales	0	0	0.007924	0.005523	5.209e-05	0
Clostridiales	3.635e-05	8.211e-05	0.05722	0.05367	0.01703	0.01672
"Bacteroidales"	0	0	0.05318	0.01835	0.2959	0.3057
Deferribacterales	0	0	5.318e-05	5.578e-05	0.001459	0.0008674
