#level	A-1	A-2	B-1	B-2	C-1	C-2
"Chrysiogenetes"	0	0	0.007925	0.005522	5.211e-05	0
"Fusobacteria"	0	0	0.002287	0.00145	0	0
Above_phylum	0.02955	0.02763	0.001702	0.0006135	0.006513	0.007059
Firmicutes	0.009595	0.01371	0.05734	0.05388	0.01891	0.01825
"Gemmatimonadetes"	0.003235	0.002874	0	0	0	0
Ignavibacteriae	0.0009086	0.0005337	0.0006915	0.0004462	0.0001042	0.0001496
"Synergistetes"	0	0	0.001383	0.0008924	0.005054	0.004337
"Spirochaetes"	0	0	0.0005319	0.0004462	0.008702	0.007628
"Deferribacteres"	0	0	5.319e-05	5.578e-05	0.001459	0.0008675
Candidatus_Saccharibacteria	0	0	0.004893	0.00435	0.00297	0.002842
"Actinobacteria"	0.2091	0.2075	0.006117	0.013	0.04752	0.04977
"Tenericutes"	0	0	0.007074	0.0029	0.0003126	0.0003889
"Deinococcus-Thermus"	0.002035	0.0006569	0	0	0	0
"Euryarchaeota"	0	0	5.319e-05	0.0001673	0.003491	0.0008675
"Proteobacteria"	0.5561	0.5625	0.7532	0.7987	0.5211	0.5103
"Bacteroidetes"	0.1319	0.128	0.1567	0.1176	0.3839	0.3975
"Verrucomicrobia"	0.00676	0.01178	0	0	0	0
"Acidobacteria"	0.04968	0.0436	5.319e-05	0	0	0
"Chloroflexi"	0.001163	0.00115	0	0	0	0
