#level	A-1	A-2	B-1	B-2	C-1	C-2
Streptococcaceae	0.003563	0.004803	0	0	0	0
Spirochaetaceae	0	0	0.0005318	0.0004463	0.0087	0.007627
Moraxellaceae	0	0	0.006116	0.0415	0.00224	0.002124
Acetobacteraceae	0.0012	0.001478	0.008615	0.008926	0.06111	0.06365
Pseudonocardiaceae	0.007744	0.008991	0	0	0	0
Cellulomonadaceae	0	0	0.001755	0.007643	0.002396	0.002483
Campylobacteraceae	0	0	0.02765	0.03721	0.09533	0.1081
Alteromonadaceae	0	0	0.1083	0.1044	0.0001042	2.991e-05
Clostridiaceae_1	0	0	0.01888	0.01975	0.002292	0.002602
Bacteroidaceae	0	0	0.03563	0.007921	0.0006772	0.0007777
Peptostreptococcaceae	0	0	0.00234	0.001785	0.0001042	5.982e-05
"Porphyromonadaceae"	0	0	0.01292	0.007308	0.295	0.3048
Microbacteriaceae	0.009634	0.008991	0.001914	0.002622	0.01026	0.01241
Sneathiellaceae	0.000509	0.0005748	0	0	0.0003126	8.973e-05
Thermomonosporaceae	0.008944	0.01137	0	0	0	0
"Prevotellaceae"	0	0	0.0006382	0.0002789	0	0
Desulfobulbaceae	0	0	0.0001064	5.578e-05	0.003959	0.004247
Desulfuromonadaceae	0	0	0.0003191	0.0002789	0.04772	0.05064
Flavobacteriaceae	0	0	0.09673	0.09232	0.001042	0.0009871
Caulobacteraceae	0.001163	0.00115	0.00335	0.007977	0.002761	0.00353
Enterobacteriaceae	0	0	0.005265	0.003347	0	0
Mycobacteriaceae	0.01534	0.01601	0	0	0	0
Shewanellaceae	0	0	0.01462	0.01841	0.01776	0.0169
Acholeplasmataceae	0	0	0.007073	0.002901	0.0003126	0.0003888
Rhizobiaceae	0.005781	0.006363	0.02702	0.03442	0.1163	0.1133
Streptomycetaceae	0.04534	0.05017	0	0	0	0
Cryptosporangiaceae	0.002654	0.003325	0	0	0	0
Comamonadaceae	0	4.105e-05	0.005105	0.004017	0.0003647	0.000329
Chromatiaceae	0	0	0.05233	0.05551	0	0
Alcaligenaceae	0.001963	0.001724	0.03627	0.03196	0.008752	0.008166
Hyphomonadaceae	0	0	0.007711	0.00569	0.004011	0.003081
Opitutaceae	0.0004363	0.0006158	0	0	0	0
Micromonosporaceae	0.01767	0.0133	0	0	0	0
Deferribacteraceae	0	0	5.318e-05	5.578e-05	0.001459	0.0008674
Vibrionaceae	0	0	0.006648	0.004128	0.01391	0.01394
Clostridiales_Incertae_Sedis_XIII	0	0	0.003563	0.003961	0.001094	0.0007478
Rhodocyclaceae	0	0	0.05674	0.04519	0.0708	0.04894
Corynebacteriaceae	0	0	0	0	0.02146	0.02028
Rhodobacteraceae	3.636e-05	0	0.07472	0.07358	0.01969	0.01834
Lachnospiraceae	0	0	0.01569	0.0125	0	0
Rhodospirillaceae	0.007853	0.007965	0.007817	0.006025	5.209e-05	0
Clostridiales_Incertae_Sedis_XII	0	0	0.01441	0.01417	0.002917	0.002812
Enterococcaceae	0.0012	0.001847	0	0	0	0
Burkholderiaceae	0.0007635	0.000739	0	0	0	0
Eubacteriaceae	0	0	0	0	0.0007814	0.0008076
Erythrobacteraceae	0.04981	0.039	0.000585	0.0007252	0.0006772	0.0008674
Desulfomicrobiaceae	0	0	0.003191	0.002176	0.001094	0.0009871
Chitinophagaceae	0.1204	0.1231	0	0	0.0003647	0.0002991
Prolixibacteraceae	0	0	0.002499	0.001785	0	0
Gemmatimonadaceae	0.0007635	0.0009032	0	0	0	0
Synergistaceae	0	0	0.001383	0.0008926	0.005053	0.004337
Sphingobacteriaceae	0.001818	0.001683	0.004148	0.004295	0	0
Xanthobacteraceae	0.0009452	0.001232	0.002925	0.002678	0.001459	0.002692
Nocardiaceae	0.0004726	0.0003695	0	0	0	0
Sinobacteraceae	0.004472	0.006035	0	0	0	0
Aeromonadaceae	0	0	0.002606	0.004072	0	0
Ruminococcaceae	0	0	0.0004254	0.0001674	0.002605	0.002483
Rhodobiaceae	0.0003636	0.0002874	5.318e-05	0	0.005522	0.004756
Beijerinckiaceae	0	0	0.00234	0.002343	0	2.991e-05
Bradyrhizobiaceae	0.0148	0.01285	0.001702	0.001729	0.001407	0.001316
Propionibacteriaceae	0	0	0	0	0.002344	0.002423
Brucellaceae	0.000618	0.000739	0.0004786	0.00145	0.0003647	0.0006581
Streptosporangiaceae	0.012	0.01162	0	0	0	0
Hyphomicrobiaceae	0.01512	0.01601	0.0005318	0.0001116	0.0001042	0.0001795
Chrysiogenaceae	0	0	0.007924	0.005523	5.209e-05	0
Helicobacteraceae	0	0	0.0004786	0.0006136	0.003334	0.00332
Above_family	0.4366	0.4233	0.09966	0.09043	0.1264	0.1306
Demequinaceae	0.0003999	0	0.00218	0.002399	5.209e-05	5.982e-05
Phyllobacteriaceae	0.03726	0.04007	0.0004254	0.0002231	0.002084	0.001974
Methanocorpusculaceae	0	0	5.318e-05	0.0001674	0.00349	0.0008674
Promicromonosporaceae	0.002036	0.001642	0	0	0	0
Xanthomonadaceae	0.04217	0.04138	0	0	0	0
Sphingomonadaceae	0.07228	0.07529	0.02095	0.01941	0.0236	0.02402
Labilitrichaceae	0.001309	0.001314	0	0	0	0
Carnobacteriaceae	0.000509	0.0005748	0	0	0	0
Halomonadaceae	0.008216	0.01835	0.08402	0.1065	0.002709	0.002064
Nocardioidaceae	0.03621	0.03297	0	0	0	0
Pseudomonadaceae	0.003054	0.003531	0.05398	0.05729	0.003334	0.002752
Bacillaceae_1	0.00429	0.006404	0	0	0	0
Oceanospirillaceae	0	0	0.04472	0.03749	0.0001563	5.982e-05
"Fusobacteriaceae"	0	0	0.00117	0.000781	0	0
Ignavibacteriaceae	0.0009089	0.0005337	0.0006913	0.0004463	0.0001042	0.0001496
Micrococcaceae	0.001382	0.001396	0	0	0	0
