#level	A-1	A-2	B-1	B-2	C-1	C-2
Parvibaculum	0.0003635	0.0002874	5.318e-05	0	0.004845	0.004368
Agromyces	0	0	0	0	0.009585	0.0114
Pigmentiphaga	0.000109	0.0001642	0.002765	0.001841	5.209e-05	0
Mangrovibacterium	0	0	0.002499	0.001785	0	0
Pseudonocardia	0.00189	0.001683	0	0	0	0
Lactococcus	0.003271	0.004475	0	0	0	0
Chelativorans	0.002944	0.003079	0	0	0	0
Olivibacter	0.001817	0.001683	0	0	0	0
Brevundimonas	0.0001817	4.105e-05	0.00335	0.007977	0.002761	0.00353
Pseudomonas	0.003053	0.003531	0.05398	0.05729	0.003334	0.002752
Sphingopyxis	0.01101	0.01232	0.004148	0.003849	0.009481	0.007479
Actinocatenispora	0.0007633	0.0006569	0	0	0	0
Roseovarius	0	0	0.001489	0.00145	0	5.983e-05
Streptococcus	0.0002908	0.0003284	0	0	0	0
Cetobacterium	0	0	0.00117	0.000781	0	0
Jatrophihabitans	0.0004725	0.0008621	0	0	0	0
Sphingobacterium	0	0	0.001436	0.002008	0	0
Seleniivibrio	0	0	5.318e-05	5.578e-05	0.001459	0.0008676
Carnobacterium	0.0005089	0.0005748	0	0	0	0
Steroidobacter	0.0005089	0.0004927	0	0	0	0
Acinetobacter	0	0	0.006116	0.0415	0.00224	0.002124
Cloacibacillus	0	0	0.00133	0.0008368	0.003438	0.00356
Insolitispirillum	0	0	0.007817	0.006025	5.209e-05	0
Nocardia	0.0004725	0.0003695	0	0	0	0
Gp3	0.02919	0.02894	0	0	0	0
Gp4	0.0003998	0.0002874	0	0	0	0
Actinomadura	0.008578	0.01051	0	0	0	0
Gp6	0.007924	0.006651	0	0	0	0
Arenibacter	0	0	0.001276	0.00106	0.0004688	0.0002992
Flavobacterium	0	0	0.07387	0.07369	5.209e-05	0.0001496
Treponema	0	0	0.0005318	0.0004463	0.0087	0.007629
Chrysiogenes	0	0	0.007924	0.005523	5.209e-05	0
Hyphomonas	0	0	0.007711	0.00569	0.004011	0.003081
Arcobacter	0	0	0.01345	0.02711	0.09533	0.1081
Bacteroides	0	0	0.03563	0.007921	0.0006772	0.0007778
Aeromonas	0	0	0.002606	0.004072	0	0
Roseomonas	0	0	0.008615	0.008926	0.06111	0.06366
Nitrincola	0	0	0.02755	0.02092	0	0
Pseudochrobactrum	0	0	0.0002127	0.0006136	5.209e-05	2.992e-05
Halomonas	0.008215	0.01835	0.08402	0.1065	0.002709	0.002064
Fusibacter	0	0	0.0134	0.01339	0.002917	0.002752
Povalibacter	0.0009814	0.002012	0	0	0	0
Anaerovorax	0	0	0.003563	0.003961	0.0004688	0.000359
Sphingomonas	0.02897	0.03013	5.318e-05	0.0003347	0.0001042	0.001376
Rhizobium	0.002036	0.002586	0.02484	0.03157	0.05163	0.05095
Actinophytocola	0.000836	0.00115	0	0	0	0
Ancylobacter	0	0	5.318e-05	0	0.0006772	0.0009873
Taibaiella	0.01461	0.01852	0	0	0	0
Kaistia	3.635e-05	8.211e-05	0.0009041	0.0009483	0.0002605	0.0002393
Opitutus	0.0004362	0.0006158	0	0	0	0
Devosia	0.0005452	0.0004516	0.0004786	0.0001116	5.209e-05	0.0001197
Leifsonia	3.635e-05	4.105e-05	0	0	0.0006772	0.0008975
Nitratireductor	0	0	0	0	0.001302	0.0009274
Sphingosinicella	0.000109	8.211e-05	0.0005318	0.0004463	0.0004688	0.0004188
Hydrogenophaga	0	0	0.00133	0.000781	0	0
Desulfobulbus	0	0	0.0001064	5.578e-05	0.003959	0.004248
Corynebacterium	0	0	0	0	0.02146	0.02028
Parabacteroides	0	0	0.0004786	0.0002231	0.008752	0.008317
Novosphingobium	0.003671	0.004927	0.006541	0.003347	0.0001042	5.983e-05
Methyloversatilis	0	0	0.0007977	0.0005021	5.209e-05	0.0001197
Aeromicrobium	0.02748	0.02242	0	0	0	0
Proteiniclasticum	0	0	0.01888	0.01975	0.002292	0.002603
Gemmatimonas	0.0007633	0.0009032	0	0	0	0
Petrimonas	0	0	5.318e-05	0	0.05053	0.04981
Macellibacteroides	0	0	0.002606	0.00145	0.03417	0.03805
Desulfuromonas	0	0	5.318e-05	0.0001116	0.004949	0.004338
Thauera	0	0	0.01899	0.01607	0.06673	0.04613
Alishewanella	0	0	0.1083	0.1044	0.0001042	2.992e-05
Streptomyces	0.04442	0.04939	0	0	0	0
Desulfomicrobium	0	0	0.003191	0.002176	0.001094	0.0009873
Edaphobacter	0.002472	0.00271	0	0	0	0
Castellaniella	0	0	0.0008509	0.0001674	0.001511	0.001197
Dyella	0.002653	0.001888	0	0	0	0
Methanocorpusculum	0	0	5.318e-05	0.0001674	0.00349	0.0008676
Marinobacterium	0	0	0.01718	0.01657	0.0001563	5.983e-05
Escherichia/Shigella	0	0	0.005265	0.003347	0	0
Rhizomicrobium	0.001054	0.001273	0	0	0	0
Pseudochelatococcus	0	0	0.001064	0.00106	0	0
Arthrobacter	0.001381	0.001396	0	0	0	0
Arachidicoccus	0.02494	0.02829	0	0	0	0
Bacillus	0.004289	0.006404	0	0	0	0
Pseudoxanthomonas	0.00109	0.001765	0	0	0	0
Bordetella	0.001636	0.001314	0	0	0	0
Above_genus	0.627	0.5986	0.3409	0.3196	0.4205	0.4281
Shewanella	0	0	0.01462	0.01841	0.01776	0.0169
Rhodanobacter	0.005489	0.006281	0	0	0	0
Reyranella	0.008433	0.00858	0	5.578e-05	0	0
Labilithrix	0.001309	0.001314	0	0	0	0
Pseudolabrys	0.0009451	0.001232	0	0	0	0
Parafilimonas	0.02919	0.0271	0	0	0	0
Sulfuricurvum	0	0	0.0004786	0.0006136	0.003334	0.003321
Aminivibrio	0	0	5.318e-05	5.578e-05	0.001615	0.0007778
Bosea	3.635e-05	0	0.001649	0.001618	0.001042	0.0009274
Acholeplasma	0	0	0.007073	0.002901	0.0003126	0.0003889
Vibrio	0	0	0.006648	0.004128	0.01391	0.01394
Chitinophaga	0.002908	0.004352	0	0	0	0
Acetoanaerobium	0	0	0.00234	0.001785	0.0001042	5.983e-05
Mycobacterium	0.01534	0.01601	0	0	0	0
Luteimonas	0.01181	0.01228	0	0	0	0
Prevotella	0	0	0.0006382	0.0002789	0	0
Lutibaculum	0	0	0	0	0.0006772	0.0003889
Proteiniphilum	0	0	0	5.578e-05	0.005678	0.005535
Acidovorax	0	0	0.002553	0.002064	0	2.992e-05
Kribbella	0.006761	0.007513	0	0	0	0
Nocardioides	0.001963	0.003038	0	0	0	0
Enterococcus	0.0012	0.001847	0	0	0	0
Achromobacter	7.27e-05	8.211e-05	0.004095	0.003403	0.006043	0.006073
Spartobacteria_genera_incertae_sedis	0.000836	0.0006979	0	0	0	0
Solimonas	0.001708	0.002176	0	0	0	0
Promicromonospora	0.002036	0.001642	0	0	0	0
Gp16	0.005707	0.002381	0	0	0	0
Xanthobacter	0	0	0.0009041	0.0008926	0.0002605	0.0006283
Mesorhizobium	0.007343	0.007759	0	0	0	0
Pelobacter	0	0	0.0002659	0.0001674	0.04277	0.04631
Amycolatopsis	0.002108	0.002422	0	0	0	0
Sphingobium	0.005089	0.005419	0.009626	0.01138	0.01344	0.01469
Muricauda	0	0	0.004467	0.003682	0.0001042	8.975e-05
Saccharibacteria_genera_incertae_sedis	0	0	0.004893	0.004351	0.002969	0.002842
Azoarcus	0	0	0.01686	0.01344	0.0001042	2.992e-05
Ciceribacter	0	4.105e-05	0	0	0.001094	0.0008975
Pedobacter	0	0	0.002712	0.002287	0	0
Hyphomicrobium	0.004326	0.005009	5.318e-05	0	0	0
Dokdonella	0.01196	0.01063	0	0	0	0
