#gene_id	length	counts	tpm
TrG1209W	849	0	0
TrG1207W	708	15	15.4509
TrG1206C	1416	2143	880.082
TrG1204W	1119	2	1.09862
TrG1203C	1554	1	0.367574
TrG1201W	678	0	0
TrG1199W	1014	0	0
TrG1193W	408	0	0
TrG1191W	1398	0	0
TrG1189C	492	0	0
TrG1187W	1443	0	0
TrG1186W	468	0	0
TrG1185W	948	0	0
TrG1184C	1032	192.927	117.606
TrG1182C	1455	0	0
TrG1180W	597	2	2.69752
TrG1179W	852	2	1.57685
TrG1176C	1563	1	0.365075
TrG1174C	456	0	0
TrG1172C	1485	0	0
TrG1171C	2868	20	3.67689
TrG1169C	1086	6	3.42429
TrG1159C	225	3	34.1348
TrG1155C	1515	76.016	28.7957
TrG1149C	633	27	33.0966
TrG1147C	747	14	13.3164
TrG1146C	2295	0	0
TrG1145W	894	0	0
TrG1144C	762	4	3.69569
TrG1142C	483	1	1.97625
TrG1140W	1263	0	0
TrG1133C	2487	31	6.66517
TrG1130W	1002	0	0
TrG1127W	2295	97	22.8033
TrG1124C	1080	2	1.14958
TrG1118C	3420	92	13.9785
TrG1115W	1221	174.228	85.7624
TrG1111C	1347	23.025	10.045
TrG1110W	2592	5	1.02705
TrG1108C	1389	26	10.9283
TrG1104W	999	32.582	20.7243
TrG1102C	597	54	72.8329
TrG1094W	1797	23	7.13546
TrG1093W	1563	118	43.0789
TrG1092C	1926	24	6.87628
TrG1086W	1134	472	254.928
TrG1084C	4584	14	1.55728
TrG1083W	837	1	0.808177
TrG1082C	1155	34	17.9424
TrG1081W	3090	39	6.6116
TrG1079W	1062	43	25.2566
TrG1078W	360	0	0
TrG1076W	1347	8	3.49005
TrG1073C	1554	1	0.367574
TrG1072W	1107	14	7.79667
TrG1071W	1428	18	7.31758
TrG1069W	1419	2	0.819267
TrG1067W	1389	8	3.36257
TrG1066W	453	1	2.24714
TrG1064W	819	1	0.833226
TrG1063W	996	3	1.91574
TrG1061C	6369	3	0.236529
TrG1055C	498	13.738	25.5851
TrG1054W	2088	14	3.65969
TrG1052C	984	11	7.13737
TrG1051W	1923	48.67	13.9693
TrG1050C	1629	39	13.5618
TrG1049W	2052	26	6.93154
TrG1048W	720	23	23.1015
TrG1047W	1191	2	1.01551
TrG1046C	3348	1	0.155459
TrG1137C	468	0	0
TrG1045C	1026	7	4.29965
TrG1044C	2337	26	5.98986
TrG1043W	1206	12	5.99855
TrG1040W	621	20	25.2841
TrG1038W	888	0	0
TrG1036W	2247	15	3.61059
TrG1035C	801	4	3.43958
TrG1032C	678	3	3.30107
TrG1029C	3498	0	0
TrG1027C	3093	158	26.7573
TrG1026C	1077	27	15.5748
TrG1025C	2277	25	5.92905
