#catalog	members
K00260	TRINITY_g100485_i1_1,TRINITY_g105259_i1_2,TRINITY_g116641_i1_1,TRINITY_g121527_i1_1,TRINITY_g126671_i1_1,TRINITY_g127045_i1_1,TRINITY_g131332_i2_1,TRINITY_g131333_i1_1,TRINITY_g131337_i1_1,TRINITY_g16029_i1_1,TRINITY_g173923_i1_1,TRINITY_g181382_i1_2,TRINITY_g190614_i1_1,TRINITY_g201055_i1_1,TRINITY_g222782_i1_2,TRINITY_g226378_i1_1,TRINITY_g242542_i1_1,TRINITY_g264353_i1_1,TRINITY_g268271_i1_1,TRINITY_g284947_i1_2,TRINITY_g303926_i1_1,TRINITY_g309255_i1_1,TRINITY_g309439_i1_1,TRINITY_g32057_i1_1,TRINITY_g324941_i1_1,TRINITY_g342550_i1_1,TRINITY_g346568_i1_1,TRINITY_g357253_i1_1,TRINITY_g373077_i1_1,TRINITY_g384089_i1_1,TRINITY_g388240_i1_1,TRINITY_g390063_i1_1,TRINITY_g390318_i1_2,TRINITY_g390318_i2_2,TRINITY_g390319_i1_1,TRINITY_g391244_i1_1,TRINITY_g392942_i1_1,TRINITY_g392943_i1_1,TRINITY_g392944_i3_2,TRINITY_g392944_i5_3,TRINITY_g392944_i7_1,TRINITY_g392944_i9_1,TRINITY_g392945_i1_3,TRINITY_g392946_i1_1,TRINITY_g393593_i1_1,TRINITY_g395463_i1_1,TRINITY_g396782_i1_1,TRINITY_g396784_i1_2,TRINITY_g396785_i1_1,TRINITY_g396785_i2_1,TRINITY_g396786_i1_1,TRINITY_g400290_i1_1,TRINITY_g400290_i2_1,TRINITY_g400291_i1_1,TRINITY_g402197_i1_1,TRINITY_g407822_i1_1,TRINITY_g410248_i1_1,TRINITY_g410248_i2_1,TRINITY_g413764_i1_1,TRINITY_g413765_i1_1,TRINITY_g413766_i1_1,TRINITY_g413767_i1_1,TRINITY_g413769_i1_1,TRINITY_g413983_i1_1,TRINITY_g427835_i1_1,TRINITY_g436400_i1_1,TRINITY_g436400_i2_1,TRINITY_g439910_i7_13,TRINITY_g439910_i8_13,TRINITY_g439910_i9_13,TRINITY_g440884_i10_5,TRINITY_g440884_i17_5,TRINITY_g441208_i1_1,TRINITY_g443824_i1_1,TRINITY_g453889_i1_2,TRINITY_g453890_i1_2,TRINITY_g463963_i1_1,TRINITY_g466087_i1_1,TRINITY_g469582_i1_1,TRINITY_g469583_i1_1,TRINITY_g469584_i1_1,TRINITY_g47642_i1_1,TRINITY_g476497_i1_2,TRINITY_g476543_i1_3,TRINITY_g476544_i1_2,TRINITY_g481632_i1_1,TRINITY_g481634_i3_1,TRINITY_g481634_i4_1,TRINITY_g482515_i1_1,TRINITY_g482516_i1_3,TRINITY_g482516_i2_3,TRINITY_g488532_i1_1,TRINITY_g489587_i1_1,TRINITY_g492190_i1_1,TRINITY_g492191_i2_3,TRINITY_g492191_i3_3,TRINITY_g496769_i1_7,TRINITY_g501586_i1_2,TRINITY_g501588_i2_4,TRINITY_g507782_i1_2,TRINITY_g511014_i1_1,TRINITY_g511015_i1_1,TRINITY_g511017_i1_1,TRINITY_g511018_i1_1,TRINITY_g511019_i1_1,TRINITY_g511020_i1_1,TRINITY_g511021_i1_1,TRINITY_g511022_i1_1,TRINITY_g519400_i11_41,TRINITY_g519400_i1_41,TRINITY_g519400_i4_41,TRINITY_g522526_i1_1,TRINITY_g522528_i1_3,TRINITY_g522528_i4_3,TRINITY_g522706_i1_1,TRINITY_g522708_i1_3,TRINITY_g522712_i1_1,TRINITY_g522713_i2_1,TRINITY_g522713_i3_1,TRINITY_g522713_i4_1,TRINITY_g522713_i5_1,TRINITY_g522714_i1_1,TRINITY_g524185_i1_3,TRINITY_g527997_i1_1,TRINITY_g528092_i1_1,TRINITY_g528165_i1_1,TRINITY_g538734_i1_17,TRINITY_g538734_i2_17,TRINITY_g538735_i2_2,TRINITY_g538735_i4_19,TRINITY_g538736_i3_1,TRINITY_g538738_i1_1,TRINITY_g540240_i1_1,TRINITY_g540241_i1_1,TRINITY_g540242_i1_1,TRINITY_g540243_i1_1,TRINITY_g540244_i1_1,TRINITY_g540245_i1_1,TRINITY_g540246_i1_1,TRINITY_g540247_i1_1,TRINITY_g541102_i1_1,TRINITY_g541103_i1_1,TRINITY_g541635_i1_2,TRINITY_g541636_i1_2,TRINITY_g541637_i1_1,TRINITY_g541638_i1_2,TRINITY_g541638_i2_2,TRINITY_g541639_i1_1,TRINITY_g541641_i1_1,TRINITY_g542692_i1_1,TRINITY_g548410_i1_1,TRINITY_g548696_i1_1,TRINITY_g552000_i1_2,TRINITY_g66867_i1_1,TRINITY_g72783_i1_1
K04561	TRINITY_g102675_i1_1,TRINITY_g117700_i1_1,TRINITY_g11792_i1_1,TRINITY_g132109_i1_1,TRINITY_g146329_i1_1,TRINITY_g146329_i1_2,TRINITY_g184611_i1_1,TRINITY_g252632_i1_1,TRINITY_g275269_i1_1,TRINITY_g295274_i1_1,TRINITY_g349442_i1_1,TRINITY_g376708_i1_1,TRINITY_g43908_i1_1,TRINITY_g5322_i1_1,TRINITY_g542660_i1_1,TRINITY_g548497_i1_1
K00262	TRINITY_g101100_i1_1,TRINITY_g103294_i1_1,TRINITY_g104118_i1_1,TRINITY_g104543_i1_1,TRINITY_g108806_i1_1,TRINITY_g121104_i1_1,TRINITY_g129190_i1_1,TRINITY_g129971_i1_1,TRINITY_g130045_i1_1,TRINITY_g131947_i1_1,TRINITY_g134221_i1_1,TRINITY_g139619_i1_1,TRINITY_g144353_i1_1,TRINITY_g144750_i1_1,TRINITY_g151912_i1_1,TRINITY_g153389_i1_1,TRINITY_g156911_i1_1,TRINITY_g165021_i1_1,TRINITY_g166250_i1_1,TRINITY_g172162_i1_1,TRINITY_g172907_i1_1,TRINITY_g174199_i1_1,TRINITY_g179045_i1_1,TRINITY_g179046_i1_1,TRINITY_g183112_i1_1,TRINITY_g183233_i1_1,TRINITY_g188245_i1_1,TRINITY_g1908_i1_1,TRINITY_g20068_i1_1,TRINITY_g209451_i1_1,TRINITY_g210315_i1_1,TRINITY_g213282_i1_1,TRINITY_g213463_i1_1,TRINITY_g21786_i1_1,TRINITY_g218706_i1_1,TRINITY_g225078_i1_1,TRINITY_g225343_i1_1,TRINITY_g226063_i1_1,TRINITY_g22693_i1_1,TRINITY_g227809_i1_1,TRINITY_g230336_i1_1,TRINITY_g232146_i1_1,TRINITY_g23996_i1_1,TRINITY_g23997_i1_1,TRINITY_g248850_i1_1,TRINITY_g252272_i1_1,TRINITY_g25353_i1_1,TRINITY_g257149_i1_1,TRINITY_g261029_i1_1,TRINITY_g261574_i1_1,TRINITY_g262485_i1_1,TRINITY_g267101_i1_1,TRINITY_g2675_i1_1,TRINITY_g267882_i1_1,TRINITY_g270261_i1_1,TRINITY_g270775_i1_1,TRINITY_g271364_i1_1,TRINITY_g274249_i1_1,TRINITY_g277094_i1_1,TRINITY_g280293_i1_1,TRINITY_g282500_i1_1,TRINITY_g285552_i1_1,TRINITY_g286526_i1_1,TRINITY_g294394_i1_1,TRINITY_g295667_i1_1,TRINITY_g299183_i1_1,TRINITY_g30489_i1_1,TRINITY_g30699_i1_1,TRINITY_g307803_i1_1,TRINITY_g309670_i1_1,TRINITY_g310778_i1_1,TRINITY_g312148_i1_1,TRINITY_g314408_i1_1,TRINITY_g319883_i1_1,TRINITY_g322583_i1_1,TRINITY_g326309_i1_1,TRINITY_g328204_i1_1,TRINITY_g32822_i1_1,TRINITY_g333706_i1_1,TRINITY_g335263_i1_1,TRINITY_g341074_i1_1,TRINITY_g345683_i1_1,TRINITY_g345862_i1_1,TRINITY_g347623_i1_1,TRINITY_g34905_i1_1,TRINITY_g353360_i1_1,TRINITY_g354842_i1_1,TRINITY_g359066_i1_1,TRINITY_g360366_i1_1,TRINITY_g360925_i1_1,TRINITY_g361045_i1_1,TRINITY_g370849_i1_1,TRINITY_g373491_i1_1,TRINITY_g376123_i1_1,TRINITY_g376508_i1_1,TRINITY_g377595_i1_1,TRINITY_g381206_i1_1,TRINITY_g382826_i1_1,TRINITY_g382826_i1_2,TRINITY_g388458_i1_1,TRINITY_g388458_i2_1,TRINITY_g388459_i1_1,TRINITY_g388629_i1_1,TRINITY_g388629_i2_1,TRINITY_g391106_i1_1,TRINITY_g391107_i2_1,TRINITY_g391647_i1_1,TRINITY_g391647_i2_1,TRINITY_g396203_i1_1,TRINITY_g398603_i1_1,TRINITY_g398604_i1_1,TRINITY_g398605_i1_1,TRINITY_g398606_i1_1,TRINITY_g398701_i1_1,TRINITY_g398701_i2_1,TRINITY_g404763_i1_1,TRINITY_g405832_i1_1,TRINITY_g405833_i1_1,TRINITY_g405833_i2_1,TRINITY_g405833_i4_1,TRINITY_g405835_i1_1,TRINITY_g405837_i1_1,TRINITY_g407135_i1_1,TRINITY_g407453_i1_1,TRINITY_g407454_i1_1,TRINITY_g407653_i1_1,TRINITY_g407653_i2_1,TRINITY_g407653_i4_1,TRINITY_g408081_i1_1,TRINITY_g408165_i1_1,TRINITY_g408167_i1_1,TRINITY_g409816_i1_1,TRINITY_g409816_i2_1,TRINITY_g416034_i1_1,TRINITY_g416121_i1_1,TRINITY_g423457_i1_1,TRINITY_g423457_i2_1,TRINITY_g427852_i3_1,TRINITY_g429088_i1_1,TRINITY_g429090_i2_3,TRINITY_g429091_i1_1,TRINITY_g429091_i2_2,TRINITY_g429092_i1_2,TRINITY_g435227_i2_1,TRINITY_g435227_i4_1,TRINITY_g435227_i5_1,TRINITY_g437428_i1_1,TRINITY_g440919_i1_3,TRINITY_g440920_i2_4,TRINITY_g440922_i1_10,TRINITY_g440924_i1_1,TRINITY_g442072_i1_1,TRINITY_g442073_i1_1,TRINITY_g443029_i1_1,TRINITY_g443552_i1_1,TRINITY_g443552_i2_1,TRINITY_g443553_i1_1,TRINITY_g443553_i2_1,TRINITY_g447783_i1_1,TRINITY_g447784_i1_1,TRINITY_g448245_i1_1,TRINITY_g448246_i3_1,TRINITY_g448246_i4_1,TRINITY_g455587_i1_1,TRINITY_g455588_i1_2,TRINITY_g455588_i2_1,TRINITY_g460980_i1_1,TRINITY_g462713_i1_1,TRINITY_g465249_i1_1,TRINITY_g472657_i2_1,TRINITY_g472657_i4_1,TRINITY_g472657_i5_1,TRINITY_g472658_i1_1,TRINITY_g472659_i1_1,TRINITY_g472660_i1_2,TRINITY_g472661_i1_1,TRINITY_g472661_i2_1,TRINITY_g472662_i1_3,TRINITY_g476535_i1_1,TRINITY_g476535_i11_1,TRINITY_g476535_i13_1,TRINITY_g476535_i19_1,TRINITY_g476535_i20_1,TRINITY_g476535_i20_2,TRINITY_g476535_i4_1,TRINITY_g476535_i8_1,TRINITY_g477171_i1_1,TRINITY_g482108_i1_3,TRINITY_g482110_i3_11,TRINITY_g482110_i6_11,TRINITY_g491248_i1_1,TRINITY_g493008_i5_3,TRINITY_g493008_i6_3,TRINITY_g493008_i7_3,TRINITY_g495144_i1_1,TRINITY_g495145_i1_1,TRINITY_g498564_i1_1,TRINITY_g501586_i2_2,TRINITY_g501587_i1_1,TRINITY_g501587_i2_1,TRINITY_g503298_i1_2,TRINITY_g504356_i1_1,TRINITY_g506121_i2_1,TRINITY_g506121_i4_1,TRINITY_g506121_i5_1,TRINITY_g507713_i1_1,TRINITY_g508027_i1_1,TRINITY_g513550_i1_1,TRINITY_g516156_i1_2,TRINITY_g517318_i1_2,TRINITY_g517319_i1_1,TRINITY_g535637_i1_1,TRINITY_g536672_i1_1,TRINITY_g538931_i1_1,TRINITY_g538931_i1_2,TRINITY_g538932_i1_1,TRINITY_g540845_i1_1,TRINITY_g544209_i2_1,TRINITY_g544209_i4_1,TRINITY_g544209_i7_1,TRINITY_g545792_i1_1,TRINITY_g545793_i1_1,TRINITY_g545931_i1_1,TRINITY_g545932_i1_1,TRINITY_g545933_i1_1,TRINITY_g545933_i1_2,TRINITY_g545934_i1_1,TRINITY_g545935_i1_2,TRINITY_g58067_i1_1,TRINITY_g61687_i1_1,TRINITY_g68778_i1_2,TRINITY_g7035_i1_1,TRINITY_g70791_i1_1,TRINITY_g74124_i1_1,TRINITY_g75747_i1_1,TRINITY_g80859_i1_1,TRINITY_g86208_i1_1,TRINITY_g86777_i1_1,TRINITY_g91842_i1_1,TRINITY_g93053_i1_1,TRINITY_g95027_i1_1,TRINITY_g95028_i1_1,TRINITY_g97462_i1_1,TRINITY_g98081_i1_1
K00362	TRINITY_g103786_i1_1,TRINITY_g104911_i1_1,TRINITY_g120603_i1_1,TRINITY_g133066_i1_1,TRINITY_g14904_i1_1,TRINITY_g158436_i1_1,TRINITY_g160418_i1_1,TRINITY_g161316_i1_1,TRINITY_g179283_i1_1,TRINITY_g186136_i1_1,TRINITY_g190242_i1_1,TRINITY_g200531_i1_1,TRINITY_g208708_i1_1,TRINITY_g225814_i1_1,TRINITY_g237588_i1_1,TRINITY_g267348_i1_1,TRINITY_g277657_i1_1,TRINITY_g282199_i1_1,TRINITY_g289929_i1_1,TRINITY_g296618_i1_1,TRINITY_g308744_i1_1,TRINITY_g325997_i1_2,TRINITY_g332610_i1_1,TRINITY_g344348_i1_1,TRINITY_g344540_i1_1,TRINITY_g345688_i1_1,TRINITY_g347792_i1_1,TRINITY_g371586_i1_1,TRINITY_g377079_i1_1,TRINITY_g399452_i1_1,TRINITY_g403266_i1_1,TRINITY_g405779_i11_1,TRINITY_g408551_i1_2,TRINITY_g410022_i1_1,TRINITY_g413009_i1_2,TRINITY_g415038_i1_3,TRINITY_g415038_i1_6,TRINITY_g415038_i3_2,TRINITY_g415038_i3_5,TRINITY_g417715_i1_2,TRINITY_g417716_i1_1,TRINITY_g417870_i1_1,TRINITY_g417871_i1_1,TRINITY_g418415_i5_4,TRINITY_g418415_i7_1,TRINITY_g424208_i1_2,TRINITY_g429959_i1_2,TRINITY_g442412_i1_1,TRINITY_g447946_i1_1,TRINITY_g448172_i1_1,TRINITY_g452438_i1_1,TRINITY_g452438_i2_1,TRINITY_g452439_i1_1,TRINITY_g459070_i1_2,TRINITY_g460716_i1_2,TRINITY_g460717_i1_1,TRINITY_g463109_i4_3,TRINITY_g463109_i5_3,TRINITY_g464774_i7_3,TRINITY_g465704_i1_1,TRINITY_g466501_i3_1,TRINITY_g471605_i1_5,TRINITY_g471605_i4_5,TRINITY_g471606_i1_5,TRINITY_g471606_i2_6,TRINITY_g473071_i1_1,TRINITY_g473071_i2_1,TRINITY_g485154_i1_1,TRINITY_g485299_i1_4,TRINITY_g485299_i2_4,TRINITY_g486765_i2_4,TRINITY_g486765_i4_5,TRINITY_g486765_i6_4,TRINITY_g494080_i1_2,TRINITY_g495266_i1_1,TRINITY_g499150_i1_2,TRINITY_g50228_i1_1,TRINITY_g50228_i1_2,TRINITY_g502939_i1_4,TRINITY_g510183_i1_1,TRINITY_g510183_i3_1,TRINITY_g512955_i1_1,TRINITY_g517152_i2_1,TRINITY_g520351_i1_1,TRINITY_g524335_i2_1,TRINITY_g527214_i4_1,TRINITY_g527214_i5_1,TRINITY_g529783_i1_5,TRINITY_g530008_i1_4,TRINITY_g530008_i2_4,TRINITY_g531276_i2_1,TRINITY_g531276_i3_1,TRINITY_g531377_i1_1,TRINITY_g531599_i1_8,TRINITY_g538920_i1_1,TRINITY_g541522_i12_4,TRINITY_g541522_i13_7,TRINITY_g541522_i15_7,TRINITY_g541522_i6_8,TRINITY_g541522_i9_8,TRINITY_g549196_i1_1,TRINITY_g61882_i1_1,TRINITY_g68774_i1_1,TRINITY_g861_i1_1,TRINITY_g96127_i1_1
K00264	TRINITY_g11688_i1_2,TRINITY_g149786_i1_1,TRINITY_g153720_i2_1,TRINITY_g158145_i1_1,TRINITY_g166319_i1_1,TRINITY_g17437_i1_1,TRINITY_g179399_i1_1,TRINITY_g213631_i1_1,TRINITY_g216732_i1_1,TRINITY_g230471_i1_1,TRINITY_g238236_i1_1,TRINITY_g2524_i1_1,TRINITY_g257727_i1_1,TRINITY_g290520_i1_1,TRINITY_g332888_i1_1,TRINITY_g33418_i1_1,TRINITY_g335965_i1_1,TRINITY_g339888_i1_1,TRINITY_g349978_i1_1,TRINITY_g35004_i1_1,TRINITY_g351467_i1_1,TRINITY_g372688_i1_1,TRINITY_g37917_i1_1,TRINITY_g396534_i2_3,TRINITY_g396534_i6_3,TRINITY_g396534_i9_3,TRINITY_g398954_i1_2,TRINITY_g402195_i1_1,TRINITY_g402195_i2_2,TRINITY_g402269_i6_1,TRINITY_g402270_i1_1,TRINITY_g416046_i1_2,TRINITY_g419608_i1_1,TRINITY_g419830_i1_1,TRINITY_g452135_i1_2,TRINITY_g452135_i3_2,TRINITY_g457882_i1_1,TRINITY_g462876_i1_1,TRINITY_g467737_i1_1,TRINITY_g471461_i2_1,TRINITY_g471461_i3_1,TRINITY_g471461_i5_1,TRINITY_g471519_i2_5,TRINITY_g471848_i1_1,TRINITY_g471848_i3_1,TRINITY_g478697_i1_1,TRINITY_g520055_i1_1,TRINITY_g541663_i2_11,TRINITY_g541663_i8_11,TRINITY_g54209_i1_1,TRINITY_g63298_i1_1,TRINITY_g65357_i1_1
K14048	TRINITY_g266049_i1_1,TRINITY_g453672_i2_3,TRINITY_g474650_i1_4
K00360	TRINITY_g317023_i1_2,TRINITY_g83207_i1_1
K02305	TRINITY_g209940_i1_1,TRINITY_g212274_i1_1,TRINITY_g282567_i1_1
K19823	TRINITY_g120231_i1_1,TRINITY_g170185_i1_1,TRINITY_g8936_i1_1
K01672	TRINITY_g220886_i1_1
